"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Per-frame Sign Language Gloss Recognition","C. J. Kim; H. -M. Park","Artificial Intelligence Research Center, Korea Electronics Technology Institute, Seongnam-si, Gyeonggi-do, Republic of Korea; Artificial Intelligence Research Center, Korea Electronics Technology Institute, Seongnam-si, Gyeonggi-do, Republic of Korea","2021 International Conference on Information and Communication Technology Convergence (ICTC)","7 Dec 2021","2021","","","1125","1127","Sign language is a language for communicating among the deaf and hard of hearing people and the hearing people. Sign language has its own grammatical system which is different from spoken or written languages. A sentence of sign language consists of glosses as morphemes, and the meaning of sign language depends on the movements of a body, hands, finger shapes, and facial expressions. Previous methods can translate sign language sentences into a sequence of glosses or written language but are weak for the out-of-vocabulary problem such as variations of word order. This is because the model only considers a sign language sentence as an inseparable sequence, even though the sentence consists of multiple glosses. In this paper, we propose a method that predicting every gloss for each video frame of Korean sign language using transformers. Predicted frame-by-frame gloss information can be used to transform a video of a sign language sentence into a gloss sequence, even if the model has not learned that pattern.","2162-1233","978-1-6654-2383-0","10.1109/ICTC52510.2021.9621167","Institute of Information and communications Technology Planning and evaluation (IITP); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9621167","sign language;gloss;human keypoints;transformers","Smoothing methods;Shape;Gesture recognition;Auditory system;Transforms;Assistive technologies;Predictive models","","3","","14","IEEE","7 Dec 2021","","","IEEE","IEEE Conferences"
"English to Indian Sign Language Gloss Structure Translation using Sequence to Sequence Model","M. S. Nair; S. M. Idicula; N. R. Raji; R. Gopal","Department of Computer Science, Cochin University of Science and Technology, Ernakulam, Kerala, India; Department of Artificial Intelligence and Data Science, Muthoot Institute of Technology and Science, Ernakulam, Kerala, India; Degree(HI) National Institute of Speech & Hearing, Trivandrum, Kerala, India; Degree(HI) National Institute of Speech & Hearing, Trivandrum, Kerala, India","2023 9th International Conference on Smart Computing and Communications (ICSCC)","6 Dec 2023","2023","","","560","564","A significant portion of the deaf and hard of hearing population in India uses Indian Sign Language (ISL) for communication. However, they frequently encounter significant communication and educational challenges as a result of the lack of ISL-related resources and technology. In this work, we aim to create a system for translating English text to ISL gloss structure. It can be viewed as a significant step towards ISL generation from normal text. The proposed method uses a seq2seq BiLSTM encoder-LSTM decoder based approach for performing the grammatical transformation of sentences to convert them from English to ISL gloss structure. The evaluation of the system, using BLEU score and ROUGE-L F1 score yielded good results for different batch sizes.","","979-8-3503-1409-0","10.1109/ICSCC59169.2023.10335040","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10335040","Indian Sign Language(ISL);ISL gloss;Sequence to Sequence;Machine Translation;Encoder Decoder","Computational modeling;Sociology;Gesture recognition;Auditory system;Assistive technologies;Decoding;Grammar","","","","20","IEEE","6 Dec 2023","","","IEEE","IEEE Conferences"
"A Review For Different Sign Language Recognition Systems","A. Singh; M. Rakhra","School of Computer Science and Engineering, Lovely Professional University, Phagwara, India; School of Computer Science and Engineering, Lovely Professional University, Phagwara, India","2022 4th International Conference on Artificial Intelligence and Speech Technology (AIST)","17 Mar 2023","2022","","","1","6","The fundamental aspects of communication that take place between human beings are exemplified by human language. For people who are deaf or hard of hearing, sign language is the primary mode of communication because the spoken language is inaccessible to those who are hard of hearing. As a result, many people are disabled because of hearing loss. The understanding of sign languages is a particular area of research interest. This study provides an overview and review of hand signals, gestures, and the most important methods utilised to recognise sign languages. The methods for understanding Sign Language are shown and explained. For each method, the accuracy is given. Many researchers have presented their research based on the main categories of these techniques. There are advantages and downsides, or limits associated with each technique. This study should be used as a guide to choose the best model to implement and as a road map for future research. This will help us improve the accuracy of future models and give the sign language community a better way to study how to make a fully video-based translator.","","978-1-6654-9902-6","10.1109/AIST55798.2022.10065037","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10065037","Hand-gestures;Face-Gestures;Sign;Sign Language;Sign-Recognition;Feature Extraction;Deep Learning;Convolutional Neural Networks (CNN);Artificial Neural Network (ANN);Support Vector Machine (SVM);Long Short-Term Memory (LSTM);K-Nearest Neighbor (KNN)","Support vector machines;Roads;Neural networks;Gesture recognition;Auditory system;Assistive technologies;Artificial intelligence","","7","","49","IEEE","17 Mar 2023","","","IEEE","IEEE Conferences"
"Consideration of Life Rhythm for Hearing-Dog Robots Searching for User","S. Furuta; T. Nakamura; Y. Iwahori; S. Fukui; M. Kanoh; K. Yamada",Nagoya Institute of Technology; Nagoya Institute of Technology; Chubu University; Aichi University of Education; Chukyo University; Institute of Advanced Media Arts and Sciences,"2018 Conference on Technologies and Applications of Artificial Intelligence (TAAI)","27 Dec 2018","2018","","","102","105","A hearing dog is a sort of assistance dog for hearing-impaired individuals. The physical touch of the dog can alert the individuals to important sounds such as doorbells, alarm clocks, and fire alarms. Although hearing dogs can assist people, there is an insufficient number of them around the world today. As an alternative, a hearing-dog robot has been developed. This robot can move around autonomously to search for a user and notify him or her of important sounds. In this work, we propose an exploring algorithm for the robot that considers past information about the location of the user. Specifically, this algorithm utilizes the user's life rhythm in order to achieve efficient exploring. In our experiments, proposed algorithm showed a shorter time as compared with the algorithm without the user's life rhythm.","2376-6824","978-1-7281-1229-9","10.1109/TAAI.2018.00031","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8588487","A Hearing-Dog Robot;Estimation of User Location;Rhythm of Daily Life;Stochastic Explore","Rhythm;Dogs;Auditory system;Probability distribution;Collision avoidance;Mobile robots","","1","","10","IEEE","27 Dec 2018","","","IEEE","IEEE Conferences"
"Brief Review of Recent Researches in Speech Enhancement from Filters to Neural Networks","F. Ge","Information Science and Technology College, Dalian Maritime University, Dalian, China","2020 International Conference on Computing and Data Science (CDS)","9 Dec 2020","2020","","","260","264","According to the World Health Organization, more and more people will suffer from hearing loss in the future. Therefore, there will be greater demand for the output and technology of hearing aids. Under the help of artificial intelligence, the technology of smart hearing aids will also become more intelligent, so that the wearer can get a better experience. This paper mainly studies the related problems of speech signal processing in intelligent digital hearing aids. This article focuses on the speech enhancement in digital hearing aids. First, this work studies the application of filter in speech enhancement technology, mainly introduces the Wiener filter algorithm using the minimum mean square error criterion; the Kalman filter algorithm that can solve discrete signals; spectral subtraction based on multi-window spectrum estimation. Secondly, this paper studies some specific methods of deep learning technology in speech enhancement, mainly introduces DNN-based speech enhancement method, deep learning-based auditory cepstrum coefficient speech enhancement algorithm, and AE-CGAN-based speech enhancement algorithm. Finally, this paper studies the related problems of acoustic scene classification, divides the listening environment into Gaussian white noise, impact noise, and music noise, and explains the solutions for each listening environment.","","978-1-7281-7106-7","10.1109/CDS49703.2020.00059","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9276003","component;formatting;style;styling;insert","FCC;Data science","","2","","44","IEEE","9 Dec 2020","","","IEEE","IEEE Conferences"
"Simple2In1: A Simple Method for Fusing Two Sequences from Different Captioning Systems into One Sequence for a Small-scale Thai Dataset","W. Longjaroen; T. Chay-Intr; K. Funakoshi; A. Chotimongkol; S. Usanavasin","Sirindhorn International Institute of Technology, Thammasat University, Thailand; School of Engineering, Tokyo Institute of Technology, Japan; Institute of Innovative Research, Tokyo Institute of Technology, Japan; National Science and Technology Development Agency, Thailand; Sirindhorn International Institute of Technology, Thammasat University, Thailand","2023 18th International Joint Symposium on Artificial Intelligence and Natural Language Processing (iSAI-NLP)","19 Dec 2023","2023","","","1","6","The increasing number of Deaf and Hard of Hearing (DHH) individuals has amplified the need for quality captions, especially in real-time. Previous studies have successfully explored various methods to enhance caption quality, including alignment-based and neural network approaches. While alignment-based methods represent a conventional approach, neural network models are inherently more complex yet offer superior performance. However, these neural models demand large datasets, posing challenges for languages such as Thai with limited datasets available. In this paper, we propose a simple but effective method to improve the quality of Thai captions on a small-scale Thai dataset. Our method utilizes a pre-trained mT5 model to generate a single sequence from two sequences from two different captioning systems. Despite a small dataset and limited input sequences, our method shows potential in improving six evaluation metrics, surpassing all baseline models.","2831-4565","979-8-3503-7121-5","10.1109/iSAI-NLP60301.2023.10355030","Thammasat University; Technology Development; Tokyo Institute of Technology; Royal Society; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10355030","Text Fusion;Captioning Systems;Text Alignment","Measurement;Neural networks;Auditory system;Real-time systems;Natural language processing;Artificial intelligence","","","","25","IEEE","19 Dec 2023","","","IEEE","IEEE Conferences"
"Assessing Closed Captioning Quality Using a Multilayer Perceptron","S. Nam; D. Fels","University of Toronto Toronto, Canada; Ryerson University Toronto, Canada","2018 IEEE First International Conference on Artificial Intelligence and Knowledge Engineering (AIKE)","8 Nov 2018","2018","","","9","16","Closed Captioning (CC) is a telecommunication service to provide Deaf or Hard of Hearing (D/HOH) audiences the text equivalent of what hearing audiences experience in TV. The quality of CC is often interpreted as an accuracy and assessed in the empirical measure of counting number of errors. Although the regulators necessitate certain rules in the factors of CC quality, the D/HOH community members, who are the primary audiences to the CC, are not completely satisfied. One solution to solve this issue can be including the perspective of D/HOH audience in the assessment process. This research made an attempt to design an automatic quality assessment system for CC using artificial neural networks-multilayer perceptron trained from the D/HOH audience's subjective ratings, and the representative values extracted from the caption file, and the transcript file. As an initial stage of research, the trained model was then compared with other statistical regression models.","","978-1-5386-9555-5","10.1109/AIKE.2018.00010","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8527442","Applications of AI;Automated assessment;Simulation;Artificial Intelligence;Machine Learning;Accessible Computing","Delays;Q-factor;Quality assessment;Artificial neural networks;Grammar;Standards;Auditory system","","1","","31","IEEE","8 Nov 2018","","","IEEE","IEEE Conferences"
"A Brief Survey On Dataset And Method Used For Sign Language Detection","S. Aishwarya; M. Sundaram B; B. V","Department of CSE, New Horizon College of Engineering, Bangalore, India; Department of CSE, New Horizon College of Engineering, Bangalore, India; Department of CSE, New Horizon College of Engineering, Bangalore, India","2023 10th IEEE Uttar Pradesh Section International Conference on Electrical, Electronics and Computer Engineering (UPCON)","26 Feb 2024","2023","10","","1","5","Although speech is still a most common form of communication some people have difficulty in listening and speaking. For people with such disabilities, communication poses a big barrier. To solve this issue researcher have been trying to build state of art machine learning and deep learning model so that those people with disabilities can communicate easily, in such a context most of the researchers worked on Indian Sign Language which is one of the most difficult tasks to study because, in contrast to American Sign Language, it is still in its fancy. To perform Indian Sign Language recognition many researchers have built various Artificial Intelligence based models. This paper explains some of the Artificial Intelligence based techniques to solve the problem of communication for those people who have difficulty in listening or speaking.","2687-7767","979-8-3503-8247-1","10.1109/UPCON59197.2023.10434904","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10434904","Machine Learning;Sign Language;Deep Learning;computer vision","Surveys;Deep learning;Gesture recognition;Auditory system;Assistive technologies;Speech;Task analysis","","","","14","IEEE","26 Feb 2024","","","IEEE","IEEE Conferences"
"Real-Time Sign Language Recognition using a Multimodal Deep Learning Approach","S. Amutha; N. Shanmukh; A. V. S. R. P. Naidu; P. V. Kumar; G. S. S. Narayana","Department of Computer Science and Engineering, Kalasalingam Academy of Research and Education, Virudhnagar, Madurai, India; Department of Computer Science and Engineering, Kalasalingam Academy of Research and Education, Virudhnagar, Madurai, India; Department of Computer Science and Engineering, Kalasalingam Academy of Research and Education, Virudhnagar, Madurai, India; Department of Computer Science and Engineering, Kalasalingam Academy of Research and Education, Virudhnagar, Madurai, India; Department of Computer Science and Engineering, Kalasalingam Academy of Research and Education, Virudhnagar, Madurai, India","2023 International Conference on Advances in Computing, Communication and Applied Informatics (ACCAI)","4 Aug 2023","2023","","","1","8","Sign language recognition is an important area of research that aims to provide greater access to communication and information for individuals who are deaf or hard of hearing. In this paper, we present a new approach for real-time sign language recognition using a multimodal deep learning approach. The proposed approach integrates video and inertial sensor data for improved recognition accuracy and robustness.The proposed approach uses a convolutional neural network (CNN) to extract features from the video data and a Recurrent neural network (RNN) is used to capture the temporal dynamics of the sign language gestures.Sign language recognition systems use technologies such as computer vision, machine learning, and artificial intelligence to analyze and understand the gestures and movements of the signer. These systems have the potential to improve the quality of life for individuals who are deaf or hard of hearing by providing them with greater access to communication and information in a variety of settings.","","979-8-3503-1590-5","10.1109/ACCAI58221.2023.10199569","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10199569","CNN;RNN;inertial sensor data;Deep Learning","Deep learning;Recurrent neural networks;Gesture recognition;Auditory system;Assistive technologies;Streaming media;Feature extraction","","","","15","IEEE","4 Aug 2023","","","IEEE","IEEE Conferences"
"Sign and Machine Language Recognition for Physically Impaired Individuals","S. Jothimani; S. Shruthi; E. D. Tharzanya; S. Hemalatha","Department of Electronics and Communication Engineering, M. Kumarasamy College of Engineering, Karur, Tamil Nadu; Department of Electronics and Communication Engineering, M. Kumarasamy College of Engineering, Karur, Tamil Nadu; Department of Electronics and Communication Engineering, M. Kumarasamy College of Engineering, Karur, Tamil Nadu; Department of Electronics and Communication Engineering, M. Kumarasamy College of Engineering, Karur, Tamil Nadu","2022 3rd International Conference on Electronics and Sustainable Communication Systems (ICESC)","19 Sep 2022","2022","","","1483","1488","Sign language is a type of communication used by people who are deaf or hard of hearing. Disabled People use sign language gestures as a non-verbal communication tool to express their feelings and thoughts to other people. It's tough to converse with those who are deaf or hard of hearing. Deaf and mute persons communicate via hand gesture sign language, which makes it difficult for non-deaf and mute people to understand their language. As a result, technologies that recognise numerous signs and communicate the data to regular people are needed. However, because these ordinary people have a hard time understanding their expressions, experienced sign language experts are required for medical and legal appointments, as well as educational and training sessions. There has been an upsurge in demand for these services in recent years. Other types of services, such as video remote human interpreter using a high-speed Internet connection, have been established, providing an easy-to-use sign language interpreter service that may be utilised and benefited, but with significant limits. In order to address this issue, the artificial intelligence technology can be implemented to analyze user’s hand with finger detection. A novel system has been suggested to design the vision-based system in real time environments. Then the Convolutional Neural Network (CNN) algorithm is used to classify the sign language and provide the label about recognized sign with voice alert.","","978-1-6654-7971-4","10.1109/ICESC54411.2022.9885433","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9885433","Sign Language;Deep learning;Impairment people;Convolutional neural network;Region of Interest","Training;Image recognition;Law;Gesture recognition;Speech recognition;Auditory system;Assistive technologies","","","","24","IEEE","19 Sep 2022","","","IEEE","IEEE Conferences"
"Certain Investigation of Various Algorithms to Improvise the Quality of Hearing Aid","K. Priyadharsini; C. Ganesh Babu; J. R. Dinesh Kumar; J. Jony Jas; S. Mano Bharathi; Rajarajan","ECE, Sri Krishna College of Engineering and Technology, Tamilnadu, India; Department of E&I Engg, Bannari Amman Institute of Technology, Sathyamangalam; ECE, Sri Krishna College of Engineering and Technology, Tamilnadu, India; ECE, Sri Krishna College of Engineering and Technology, Tamilnadu, India; ECE, Sri Krishna College of Engineering and Technology, Tamilnadu, India; ECE, Sri Krishna College of Engineering and Technology, Tamilnadu, India","2023 Third International Conference on Smart Technologies, Communication and Robotics (STCR)","22 Jan 2024","2023","1","","1","6","Hearing loss, marked by an inability to hear sounds below a 20 dB threshold, often results from dysfunction in the ear’s organs, associated nerves, or the auditory part of the brain. Deaf individuals encounter direct or indirect discrimination in daily life, as highlighted by National Centre for the Deaf data showing a significant employment gap. Only 48% of deaf individuals are employed, compared to 72% of their hearing counterparts. This discrimination leads to missed opportunities and some deaf individuals leaving jobs due to disability-related biases. After careful study of research papers done by scholars and working with low-end and High-end Hearing aid devices, we decide to start with the analysis of audio signals and implementing the different algorithms in computational tools like MATLAB and Python. Subsequently, we found the quality of hearing aid devices depends on three factors SNR, SI-SNR, and PESQ. Working with different algorithms and modifying some, we achieved better quality hearing aids than existing high-end hearing aids using the SepFormer algorithm. The overall systems shows better results on the signal quality improvements to ensure the HA perforamnce. The Metric GAN+based method has the good variations in SI-SNR of 9.42, PESQ of 3.15. Hence, using the proposed model enhance the quality of HA and supports the dumb people. The quality of the HA is analysed using this proposed mehtod with AI enabled technlogy.","","979-8-3503-7086-7","10.1109/STCR59085.2023.10396954","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10396954","SepFormer;MetricGAN;MetricGAN+;SI-SNR;PESQ","Measurement;Employment;Auditory system;Hearing aids;Mathematical models;Artificial intelligence;Robots","","","","19","IEEE","22 Jan 2024","","","IEEE","IEEE Conferences"
"Data glove-based sign language translation with convolutional neural networks","M. C. Cervera; D. L. Meza; D. Huamanchahua","Department of Mechatronic Engineering, Universidad Continental, Huancayo, Perú; Department of Mechatronic Engineering, Universidad Continental, Huancayo, Perú; Department of Electrical and Mechatronic Engineering, Universidad de Ingeniería y Tecnología - UTEC, Lima, Perú","2022 International Conference on Mechanical, Automation and Electrical Engineering (CMAEE)","17 Mar 2023","2022","","","67","74","This research was carried out because of the communication barriers that currently exist between hearing impaired and hearing people. These barriers hinder their integration into society and affect their interpersonal relationships. The objective of the study was to propose the development of a stationary assistive robot capable of displaying sign language interpretation through the combination of data gloves and the D-CNN and LSTM algorithm to facilitate the communication of hearing-impaired children in Huancayo. The triple diamond research design was used, where the mind map and the lotus diagram were used for the delimitation and definition of the problem. In addition, the IDEF0 technique was used to obtain a structured design of the project system. A morphological matrix was also used to choose the best solution for the problem. The chosen design contemplates the use of an Arduino UNO, flex sensors, accelerometers and gyroscopes for sign detection. The main algorithm consists of the union of a deep convolutional neural network and a LSTM for a correct sign classification module. The proposed design proposes to visualize the conceptual development of the project mentioned above.","","979-8-3503-4657-2","10.1109/CMAEE58250.2022.00020","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10066103","Sign Language Recognition (SLR);Data glove;Convoluting Neural Network (CNN);long short-term memory (LSTM)","Electrical engineering;Flexible printed circuits;Neural networks;Data visualization;Gesture recognition;Auditory system;Diamonds","","","","26","IEEE","17 Mar 2023","","","IEEE","IEEE Conferences"
"Desktop Based Speech Recognition For Hearing And Visually Impaired Using Machine Learning","P. K. Rani; B. Manohari; S. S. Kumar; B. A. Kumar",Sri Krishna College of Engineering and Technology; Sri Krishna College of Engineering and Technology; Sri Krishna College of Engineering and Technology; Sri Krishna College of Engineering and Technology,"2022 International Conference on Applied Artificial Intelligence and Computing (ICAAIC)","16 Jun 2022","2022","","","702","709","Using Speech acknowledgement with several speakers, a PC-based application is proposed in this study. An informal ID is shown on the PC screen next to a speech-to-message change text yield, indicating that the recognised speaker has been identified. Three features are included in the framework that has been proposed: A client-server model and multi-stringing notion are used to transmit and collect the modified speech over to a message in a client-server model and a client-server model. The system consists of PCs that can transmit and acquire data, a PC programme that connects various devices through WiFi, and a receiver that receives spoken input from the customers. Every one of the functionalities is executed as a PC application with an easy to understand graphical client interface (GUI). There are two modes of operation for the application, one near and one far. Other than in a case when there are speakers within earshot, the customer chooses a location that is either near or remote. Individuals who are deaf or hard of hearing are the primary focus of the proposed structure. Despite the fact that portable hearing aid technology has been much improved, it relies on an obstructed individual's internal, exterior, and center ear, as well as their hearing nerve, to aid in proper hearing. The portable amplifier isn't functional if the nerve of hearing is damaged as well. To assist the meeting impaired, the suggested framework provides Speech as text and recognises the speakers in question. It accordingly forestalls weakness brought about by listening exertion and stress. This prompts expanded use of the debilitated people. The proposed assistive framework likewise causes it feasible for typical individuals who don't know to communicate through signing to address hearing debilitation. This makes the existence of hearing disabled individuals more satisfied which works on their satisfaction.","","978-1-6654-9710-7","10.1109/ICAAIC53929.2022.9793245","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9793245","Multi-speaker;MFCC;Training;Testing;GMM;Hearing disabled","Client-server systems;Text recognition;Auditory system;Speech recognition;Receivers;Oral communication;Noise measurement","","","","11","IEEE","16 Jun 2022","","","IEEE","IEEE Conferences"
"A Prototype for Mexican Sign Language Recognition and Synthesis in Support of a Primary Care Physician","C. O. Sosa-Jiménez; H. V. Ríos-Figueroa; A. L. Solís-González-Cosío","School of Statistics and Informatics, University of Veracruz (UV), Xalapa, Veracruz, Mexico; Research Institute in Artificial Intelligence, University of Veracruz (UV), Xalapa, Veracruz, Mexico; School of Sciences, National Autonomous University of Mexico (UNAM), Mexico City, Mexico","IEEE Access","12 Dec 2022","2022","10","","127620","127635","Few hearing people know and use Mexican Sign Language (MSL). Consequently, this is the main barrier between people who having total or partial hearing loss and hearing people. This study proposes a system that recognizes and animates in real time a set of signs belonging to the semantic field of general medicine consultation services. Therefore, a linkage between a hearing doctor and a deaf patient can be established in a non-intrusive way and with easy dynamic interaction. Our main contribution is a bidirectional translator system for Mexican Sign Language in the context of primary care health services, in addition to basic signs to fingerspell alphabet and numbers as a complement to provide personal information such as name, age, etc. The recognition module uses a Microsoft Kinect sensor to obtain sign trajectories and images to feed hidden Markov Models (HMMs) for processing sign samples in real time. The experiments showed the recognition of 82 different signs by 22 participants. As a result, accuracy and F1 scores average rates of 99% and 88%, respectively, were obtained.","2169-3536","","10.1109/ACCESS.2022.3226696","National Council of Science and Technology of Mexico (CONACYT)(grant numbers:388930); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9970338","Mexican sign language;depth sensor;dynamic sign language recognition;medicine consultation services;sign language synthesis","Assistive technologies;Gesture recognition;Image recognition;Auditory system;Biomedical imaging;Three-dimensional displays;Cameras","","4","","49","CCBYNCND","5 Dec 2022","","","IEEE","IEEE Journals"
"Next-generation hearing prosthetics","R. Gao; S. Basseas; D. T. Bargiotas; L. H. Tsoukalas","Artificial Intelligence Systems Laboratory (AISL), Purdue University, West Lafayette, IN, USA; NA; Department of Automation, Technological and Educational Institute of Chalkis, Greece; School of Nuclear Engineering, Purdue University","IEEE Robotics & Automation Magazine","2 Apr 2003","2003","10","1","21","25","Neural networks and fuzzy logic are powerful tools for next-generation hearing prosthetics. A neural network, as a function fitter to map the hearing loss to desired gains requirements, provides many benefits over other approaches. The network is able to learn dynamically through experience. It is open and expandable - a physician can easily incorporate new knowledge into the system. Fuzzy logic, on the other hand, is an indispensable tool for the tuning process. It builds a direct and reasonable link between a user's subjective evaluation and the actual required modifications to the gain targets. Again, physicians are free to add new rules to the rule base in reflection of specific needs and patterns. The presented neurofuzzy approach helps hearing prosthetic devices not only in an offline fitting process, but also in online operations. Next-generation hearing prosthetics will be more intelligent than current devices. Hearing aids should be situation-dependent and capable of evolving or adapting. The neurofuzzy approach makes these features possible.","1558-223X","","10.1109/MRA.2003.1191707","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1191707","","Neural networks;Fuzzy logic;Next generation networking;Auditory system;Neural prosthesis;Deafness;Neurons;Acoustics;Laboratories;Fitting","","3","","6","IEEE","2 Apr 2003","","","IEEE","IEEE Magazines"
"A real-time interactive nonverbal communication system through semantic feature extraction as an interlingua","Jin Hou; Y. Aoki","Division of Electronics and Information Engineering, Graduate School of Engineering, Hokkaido University, Sapporo, Japan; Division of Electronics and Information Engineering, Graduate School of Engineering, Hokkaido University, Sapporo, Japan","IEEE Transactions on Systems, Man, and Cybernetics - Part A: Systems and Humans","14 Jan 2004","2004","34","1","148","154","There has been a growing interest in the use of networked virtual environment (NVE) technology to implement telepresence that allows participants to interact with each other in shared cyberspace. In addition, nonverbal language has attracted increased attention because of its association with more natural human communication, and especially sign languages play an important role for the hearing impaired. This paper proposes a novel real-time nonverbal communication system by introducing an artificial intelligence method into the NVE. We extract semantic information as an interlingua from the input text through natural language processing, and then transmit this semantic feature extraction (SFE) to the three-dimensional (3-D) articulated humanoid models prepared for each client in remote locations. Once the SFE is received, the virtual human is animated by the synthesized SFE. Experiments with Japanese and Chinese sign languages show this system makes the real-time animation of avatars available for the participants when chatting with each other. The communication is more natural since it is not just based on text or predefined gesture icons. This proposed system is suitable for sign language distance training as well.","1558-2426","","10.1109/TSMCA.2003.818461","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=1259443","","Real time systems;Feature extraction;Handicapped aids;Humans;Animation;Virtual environment;Auditory system;Artificial intelligence;Data mining;Natural language processing","","6","","25","IEEE","14 Jan 2004","","","IEEE","IEEE Journals"
"Design of Intelligent Human-Computer Interaction System for Hard of Hearing and Non-Disabled People","Q. Fu; J. Fu; S. Zhang; X. Li; J. Guo; S. Guo","Tianjin Key Laboratory for Control Theory and Application in Complicated Systems, Tianjin International Joint Research and Development Center, Tianjin University of Technology, Tianjin, China; Intelligent Robot Laboratory, Tianjin University of Technology, Tianjin, China; State Key Laboratory of Robotics and System, Harbin Institute of Technology, Harbin, China; Intelligent Robot Laboratory, Tianjin University of Technology, Tianjin, China; Tianjin Key Laboratory for Control Theory and Application in Complicated Systems, Tianjin International Joint Research and Development Center, Tianjin University of Technology, Tianjin, China; Department of Intelligent Mechanical Systems Engineering, Kagawa University, Takamatsu, Japan","IEEE Sensors Journal","19 Oct 2021","2021","21","20","23471","23479","Since the hard of hearing cannot communicate effectively with the non-disabled, which may cause various inconveniences. As an essential member of a harmonious society, it is particularly urgent to solve their communication problems with non-disabled people. Effective communication between the hard of hearing and the non-disabled has become possible with the continuous development of artificial intelligence. In this paper, an intelligent human-computer interaction system is designed to solve communication inconvenience between the hard of hearing and the non-disabled. This system combines artificial intelligence with wearable devices and classifies gestures with BP neural network, effectively solving the communication problem between the hard of hearing and the non-disabled.","1558-1748","","10.1109/JSEN.2021.3107949","Natural Science Foundation of Tianjin(grant numbers:18JCYBJC43200); Tianjin Key Laboratory for Control Theory and Application in Complicated Systems(grant numbers:TJKL-CTACS-201903); Innovative Cooperation Project of Tianjin Scientific and Technological Support(grant numbers:18PTZWHZ00090); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9522116","Human-computer interaction;neural networks;gesture recognition;data gloves","Auditory system;Sensors;Bending;Neural networks;Human computer interaction;Gesture recognition;Assistive technology","","10","","30","IEEE","25 Aug 2021","","","IEEE","IEEE Journals"
