PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"26840740","Impedance Changes and Fibrous Tissue Growth after Cochlear Implantation Are Correlated and Can Be Reduced Using a Dexamethasone Eluting Electrode","Wilk M, Hessler R, Mugridge K, Jolly C, Fehr M, Lenarz T, Scheper V.","PLoS One. 2016 Feb 3;11(2):e0147552. doi: 10.1371/journal.pone.0147552. eCollection 2016.","Wilk M","PLoS One","2016","2016/02/04","PMC4739581","","10.1371/journal.pone.0147552"
"8459305","[Hearing distribution of idiopathic bilateral sensorineural hearing loss]","Hirayama M.","Nihon Jibiinkoka Gakkai Kaiho. 1993 Jan;96(1):18-23. doi: 10.3950/jibiinkoka.96.18.","Hirayama M","Nihon Jibiinkoka Gakkai Kaiho","1993","1993/01/01","","","10.3950/jibiinkoka.96.18"
"8084197","The phonological abilities of Cantonese-speaking children with hearing loss","Dodd BJ, So LK.","J Speech Hear Res. 1994 Jun;37(3):671-9. doi: 10.1044/jshr.3703.671.","Dodd BJ","J Speech Hear Res","1994","1994/06/01","","","10.1044/jshr.3703.671"
"10763294","Development of speechreading supplements based on automatic speech recognition","Duchnowski P, Lum DS, Krause JC, Sexton MG, Bratakos MS, Braida LD.","IEEE Trans Biomed Eng. 2000 Apr;47(4):487-96. doi: 10.1109/10.828148.","Duchnowski P","IEEE Trans Biomed Eng","2000","2000/04/14","","","10.1109/10.828148"
"26121827","[Meta-analysis on effectiveness of prelingually deaf patients at different ages following cochlear implantation]","Xu Q, Zhai S, Han D, Yang S, Shen W.","Lin Chuang Er Bi Yan Hou Tou Jing Wai Ke Za Zhi. 2015 Feb;29(4):310-4.","Xu Q","Lin Chuang Er Bi Yan Hou Tou Jing Wai Ke Za Zhi","2015","2015/07/01","","",""
"15246854","Two types of afferent terminals innervate cochlear inner hair cells in C57BL/6J mice","Francis HW, Rivas A, Lehar M, Ryugo DK.","Brain Res. 2004 Aug 6;1016(2):182-94. doi: 10.1016/j.brainres.2004.05.016.","Francis HW","Brain Res","2004","2004/07/13","","","10.1016/j.brainres.2004.05.016"
"16212766","A novel model-based hearing compensation design using a gradient-free optimization method","Chen Z, Becker S, Bondy J, Bruce IC, Haykin S.","Neural Comput. 2005 Dec;17(12):2648-71. doi: 10.1162/089976605774320575.","Chen Z","Neural Comput","2005","2005/10/11","","","10.1162/089976605774320575"
"9364655","Construction of hearing percentiles in women with non-constant variance from the linear mixed-effects model","Morrell CH, Pearson JD, Brant LJ, Gordon-Salant S.","Stat Med. 1997 Nov 15;16(21):2475-88. doi: 10.1002/(sici)1097-0258(19971115)16:21<2475::aid-sim669>3.0.co;2-d.","Morrell CH","Stat Med","1997","1997/11/19","","","10.1002/(sici)1097-0258(19971115)16:21<2475::aid-sim669>3.0.co;2-d"
"18972570","Cochlear implant use following neonatal deafness influences the cochleotopic organization of the primary auditory cortex in cats","Fallon JB, Irvine DR, Shepherd RK.","J Comp Neurol. 2009 Jan 1;512(1):101-14. doi: 10.1002/cne.21886.","Fallon JB","J Comp Neurol","2009","2008/10/31","PMC2597008","NIHMS71245","10.1002/cne.21886"
"11987495","Tone discrimination in Cantonese-speaking children using a cochlear implant","Barry JG, Blamey PJ, Martin LF, Lee KY, Tang T, Ming YY, Van Hasselt CA.","Clin Linguist Phon. 2002 Mar;16(2):79-99. doi: 10.1080/02699200110109802.","Barry JG","Clin Linguist Phon","2002","2002/05/04","","","10.1080/02699200110109802"
"14608797","A diagnostic marker for speech delay associated with otitis media with effusion: the intelligibility-speech gap","Shriberg LD, Flipsen P Jr, Kwiatkowski J, McSweeny JL.","Clin Linguist Phon. 2003 Oct-Nov;17(7):507-28. doi: 10.1080/0269920031000138169.","Shriberg LD","Clin Linguist Phon","2003","2003/11/12","","","10.1080/0269920031000138169"
"18003443","Objective source selection in Blind Source Separation of AEPs in children with Cochlear Implants","Castañeda-Villa N, James CJ.","Annu Int Conf IEEE Eng Med Biol Soc. 2007;2007:6224-7. doi: 10.1109/IEMBS.2007.4353777.","Castañeda-Villa N","Annu Int Conf IEEE Eng Med Biol Soc","2007","2007/11/16","","","10.1109/IEMBS.2007.4353777"
"26936562","Cochlear implant speech intelligibility outcomes with structured and unstructured binary mask errors","Kressner AA, Westermann A, Buchholz JM, Rozell CJ.","J Acoust Soc Am. 2016 Feb;139(2):800-10. doi: 10.1121/1.4941567.","Kressner AA","J Acoust Soc Am","2016","2016/03/04","","","10.1121/1.4941567"
"21091083","Experiences of the use of FOX, an intelligent agent, for programming cochlear implant sound processors in new users","Vaerenberg B, Govaerts PJ, de Ceulaer G, Daemers K, Schauwers K.","Int J Audiol. 2011 Jan;50(1):50-8. doi: 10.3109/14992027.2010.531294. Epub 2010 Nov 22.","Vaerenberg B","Int J Audiol","2011","2010/11/25","","","10.3109/14992027.2010.531294"
"9305524","Changes in vowel quality in post-lingually deafened cochlear implant users","Langereis MC, Bosman AJ, van Olphen AF, Smoorenburg GF.","Audiology. 1997 Sep-Oct;36(5):279-97. doi: 10.3109/00206099709071980.","Langereis MC","Audiology","1997","1997/09/26","","","10.3109/00206099709071980"
"11030095","[Expert system for aiding diagnosis in hearing tests]","Buller G, Hoth S, Suchandt S.","Biomed Tech (Berl). 2000 Sep;45(9):248-54. doi: 10.1515/bmte.2000.45.9.248.","Buller G","Biomed Tech (Berl)","2000","2000/10/13","","","10.1515/bmte.2000.45.9.248"
"21563460","[Hearing the impact of MP3 on a survey of middle school students]","Xu Z, Li Z, Chen Y, He Y, Chunyu X, Wang F, Zhang P, Gao L, Qiu S, Liu S, Qiao L, Qiu J.","Lin Chuang Er Bi Yan Hou Tou Jing Wai Ke Za Zhi. 2011 Feb;25(4):151-3.","Xu Z","Lin Chuang Er Bi Yan Hou Tou Jing Wai Ke Za Zhi","2011","2011/05/14","","",""
"8885666","Hearing impairment among young Chinese in a rural area","Morioka I, Luo WZ, Miyashita K, Takeda S, Wang YX, Li SC.","Public Health. 1996 Sep;110(5):293-7. doi: 10.1016/s0033-3506(96)80092-8.","Morioka I","Public Health","1996","1996/09/01","","","10.1016/s0033-3506(96)80092-8"
"1629046","Hair cell regeneration in the adult budgerigar after kanamycin ototoxicity","Hashino E, Tanaka Y, Salvi RJ, Sokabe M.","Hear Res. 1992 Apr;59(1):46-58. doi: 10.1016/0378-5955(92)90101-r.","Hashino E","Hear Res","1992","1992/04/01","","","10.1016/0378-5955(92)90101-r"
"32336572","New type of corona virus induced acute otitis media in adult","Fidan V.","Am J Otolaryngol. 2020 May-Jun;41(3):102487. doi: 10.1016/j.amjoto.2020.102487. Epub 2020 Apr 16.","Fidan V","Am J Otolaryngol","2020","2020/04/28","PMC7161479","","10.1016/j.amjoto.2020.102487"
"8770672","Identification of childhood hearing impairment in Uusimaa County, Finland","Marttila TI, Karikoski JO.","Int J Pediatr Otorhinolaryngol. 1996 Jan;34(1-2):45-51. doi: 10.1016/0165-5876(95)01238-9.","Marttila TI","Int J Pediatr Otorhinolaryngol","1996","1996/01/01","","","10.1016/0165-5876(95)01238-9"
"11272251","[Classification of complex signal patterns with artificial neural networks in hearing and voice diagnosis]","Schönweiler R.","Laryngorhinootologie. 2001 Jan;80(1):61-2. doi: 10.1055/s-2001-11035.","Schönweiler R","Laryngorhinootologie","2001","2001/03/29","","","10.1055/s-2001-11035"
"17946451","Loudness normalization for cochlear implant using pulse-rate modulation to convey Mandarin tonal information: a model-based study","Chen F, Zhang YT.","Conf Proc IEEE Eng Med Biol Soc. 2006;2006:1236-9. doi: 10.1109/IEMBS.2006.259368.","Chen F","Conf Proc IEEE Eng Med Biol Soc","2006","2007/10/20","","","10.1109/IEMBS.2006.259368"
"7610977","A new concept for cochlear implant speech processing for prelingually deaf children","Leisenberg M.","Adv Otorhinolaryngol. 1995;50:96-101. doi: 10.1159/000424442.","Leisenberg M","Adv Otorhinolaryngol","1995","1995/01/01","","","10.1159/000424442"
"15513741","BAEP dynamic estimation in case of endocochlear pathologies using a time delay correction method","Cherrid N, Naït-Ali A, Siarry P.","J Med Eng Technol. 2004 Nov-Dec;28(6):235-41. doi: 10.1080/0309190031000139065.","Cherrid N","J Med Eng Technol","2004","2004/10/30","","","10.1080/0309190031000139065"
"7668711","First results on patient experiments with CINSTIM: the Southampton Cochlear Implant-Neural Network stimulation framework","Leisenberg M, Southgate J.","Ann Otol Rhinol Laryngol Suppl. 1995 Sep;166:370-2.","Leisenberg M","Ann Otol Rhinol Laryngol Suppl","1995","1995/09/01","","",""
"27930898","Changed crossmodal functional connectivity in older adults with hearing loss","Puschmann S, Thiel CM.","Cortex. 2017 Jan;86:109-122. doi: 10.1016/j.cortex.2016.10.014. Epub 2016 Oct 31.","Puschmann S","Cortex","2017","2016/12/09","","","10.1016/j.cortex.2016.10.014"
"15171586","Restoring hearing with active hearing implants","Federspil PA, Plinkert PK.","Biomed Tech (Berl). 2004 Apr;49(4):78-82. doi: 10.1515/BMT.2004.016.","Federspil PA","Biomed Tech (Berl)","2004","2004/06/03","","","10.1515/BMT.2004.016"
"32091289","Common Audiological Functional Parameters (CAFPAs) for single patient cases: deriving statistical models from an expert-labelled data set","Buhl M, Warzybok A, Schädler MR, Majdani O, Kollmeier B.","Int J Audiol. 2020 Jul;59(7):534-547. doi: 10.1080/14992027.2020.1728401. Epub 2020 Feb 24.","Buhl M","Int J Audiol","2020","2020/02/25","","","10.1080/14992027.2020.1728401"
"30451099","What Keeps Older Adults With Hearing Impairment From Adopting Hearing Aids?","Tahden MAS, Gieseler A, Meis M, Wagener KC, Colonius H.","Trends Hear. 2018 Jan-Dec;22:2331216518809737. doi: 10.1177/2331216518809737.","Tahden MAS","Trends Hear","2018","2018/11/20","PMC6243636","","10.1177/2331216518809737"
"32062157","HeadLocNet: Deep convolutional neural networks for accurate classification and multi-landmark localization of head CTs","Zhang D, Wang J, Noble JH, Dawant BM.","Med Image Anal. 2020 Apr;61:101659. doi: 10.1016/j.media.2020.101659. Epub 2020 Jan 28.","Zhang D","Med Image Anal","2020","2020/02/17","PMC7959656","NIHMS1561721","10.1016/j.media.2020.101659"
"35441936","Harnessing the Power of Artificial Intelligence in Otolaryngology and the Communication Sciences","Wilson BS, Tucci DL, Moses DA, Chang EF, Young NM, Zeng FG, Lesica NA, Bur AM, Kavookjian H, Mussatto C, Penn J, Goodwin S, Kraft S, Wang G, Cohen JM, Ginsburg GS, Dawson G, Francis HW.","J Assoc Res Otolaryngol. 2022 Jun;23(3):319-349. doi: 10.1007/s10162-022-00846-2. Epub 2022 Apr 20.","Wilson BS","J Assoc Res Otolaryngol","2022","2022/04/20","PMC9086071","","10.1007/s10162-022-00846-2"
"24828219","Patterns of hearing aid usage predict hearing aid use amount (data logged and self-reported) and overreport","Laplante-Lévesque A, Nielsen C, Jensen LD, Naylor G.","J Am Acad Audiol. 2014 Feb;25(2):187-98. doi: 10.3766/jaaa.25.2.7.","Laplante-Lévesque A","J Am Acad Audiol","2014","2014/05/16","","","10.3766/jaaa.25.2.7"
"36617461","Auditory rehabilitation after temporal bone fracture with cochlear implants - a case control study","Heine K, Timm ME, Gärtner L, Lenarz T, Lesinski-Schiedat A.","Cochlear Implants Int. 2023 Jul;24(4):195-204. doi: 10.1080/14670100.2022.2148351. Epub 2023 Jan 8.","Heine K","Cochlear Implants Int","2023","2023/01/08","","","10.1080/14670100.2022.2148351"
"38589815","Improving emotion perception in cochlear implant users: insights from machine learning analysis of EEG signals","Paquette S, Gouin S, Lehmann A.","BMC Neurol. 2024 Apr 8;24(1):115. doi: 10.1186/s12883-024-03616-0.","Paquette S","BMC Neurol","2024","2024/04/08","PMC11000345","","10.1186/s12883-024-03616-0"
"34204299","The Conspicuous Link between Ear, Brain and Heart-Could Neurotrophin-Treatment of Age-Related Hearing Loss Help Prevent Alzheimer's Disease and Associated Amyloid Cardiomyopathy?","Shityakov S, Hayashi K, Störk S, Scheper V, Lenarz T, Förster CY.","Biomolecules. 2021 Jun 17;11(6):900. doi: 10.3390/biom11060900.","Shityakov S","Biomolecules","2021","2021/07/02","PMC8235707","","10.3390/biom11060900"
"28463804","Encapsulated cell device approach for combined electrical stimulation and neurotrophic treatment of the deaf cochlea","Konerding WS, Janssen H, Hubka P, Tornøe J, Mistrik P, Wahlberg L, Lenarz T, Kral A, Scheper V.","Hear Res. 2017 Jul;350:110-121. doi: 10.1016/j.heares.2017.04.013. Epub 2017 Apr 25.","Konerding WS","Hear Res","2017","2017/05/03","","","10.1016/j.heares.2017.04.013"
"18049962","Prevalence of hearing impairment in an adult population in Southern Taiwan","Lin CY, Yang YC, Guo YL, Wu CH, Chang CJ, Wu JL.","Int J Audiol. 2007 Dec;46(12):732-7. doi: 10.1080/14992020701448986.","Lin CY","Int J Audiol","2007","2007/12/01","","","10.1080/14992020701448986"
"17507827","Cochlear implantation in Children with CHARGE syndrome: therapeutic decisions and outcomes","Lanson BG, Green JE, Roland JT Jr, Lalwani AK, Waltzman SB.","Laryngoscope. 2007 Jul;117(7):1260-6. doi: 10.1097/MLG.0b013e31806009c9.","Lanson BG","Laryngoscope","2007","2007/05/18","","","10.1097/MLG.0b013e31806009c9"
"15319520","Relating fMRI and PET signals to neural activity by means of large-scale neural models","Horwitz B.","Neuroinformatics. 2004;2(2):251-66. doi: 10.1385/NI:2:2:251.","Horwitz B","Neuroinformatics","2004","2004/08/21","","","10.1385/NI:2:2:251"
"21322926","[Functional MRI study of auditory cortical responses in normal subjects and unilateral sensorineural hearing loss subjects]","Ji H, Huang Z, Yang M, Feng X, Meng L.","Lin Chuang Er Bi Yan Hou Tou Jing Wai Ke Za Zhi. 2010 Nov;24(22):1018-22.","Ji H","Lin Chuang Er Bi Yan Hou Tou Jing Wai Ke Za Zhi","2010","2011/02/18","","",""
"11677406","[Auditory perception and language: functional imaging of speech sensitive auditory cortex]","Samson Y, Belin P, Thivard L, Boddaert N, Crozier S, Zilbovicius M.","Rev Neurol (Paris). 2001 Sep;157(8-9 Pt 1):837-46.","Samson Y","Rev Neurol (Paris)","2001","2001/10/26","","",""
"18046258","Familial clustering of migraine, episodic vertigo, and Ménière's disease","Cha YH, Kane MJ, Baloh RW.","Otol Neurotol. 2008 Jan;29(1):93-6. doi: 10.1097/mao.0b013e31815c2abb.","Cha YH","Otol Neurotol","2008","2007/11/30","PMC2820370","NIHMS174093","10.1097/mao.0b013e31815c2abb"
"26808148","Learning to Produce Syllabic Speech Sounds via Reward-Modulated Neural Plasticity","Warlaumont AS, Finnegan MK.","PLoS One. 2016 Jan 25;11(1):e0145096. doi: 10.1371/journal.pone.0145096. eCollection 2016.","Warlaumont AS","PLoS One","2016","2016/01/26","PMC4726623","","10.1371/journal.pone.0145096"
"19393307","Relation of focal hair-cell lesions to noise-exposure parameters from a 4- or a 0.5-kHz octave band of noise","Harding GW, Bohne BA.","Hear Res. 2009 Aug;254(1-2):54-63. doi: 10.1016/j.heares.2009.04.011. Epub 2009 Apr 22.","Harding GW","Hear Res","2009","2009/04/28","","","10.1016/j.heares.2009.04.011"
"35998103","Environmental Factors for Hearing Loss and Middle Ear Disease in Alaska Native Children and Adolescents: A Cross-Sectional Analysis from a Cluster Randomized Trial","Hicks KL, Robler SK, Platt A, Morton SN, Egger JR, Emmett SD.","Ear Hear. 2023 Jan-Feb 01;44(1):2-9. doi: 10.1097/AUD.0000000000001265. Epub 2022 Aug 23.","Hicks KL","Ear Hear","2023","2022/08/23","PMC9780156","NIHMS1819294","10.1097/AUD.0000000000001265"
"26719143","Somatic memory and gain increase as preconditions for tinnitus: Insights from congenital deafness","Eggermont JJ, Kral A.","Hear Res. 2016 Mar;333:37-48. doi: 10.1016/j.heares.2015.12.018. Epub 2015 Dec 21.","Eggermont JJ","Hear Res","2016","2016/01/01","","","10.1016/j.heares.2015.12.018"
"21404048","A reafferent and feed-forward model of song syntax generation in the Bengalese finch","Hanuschkin A, Diesmann M, Morrison A.","J Comput Neurosci. 2011 Nov;31(3):509-32. doi: 10.1007/s10827-011-0318-z. Epub 2011 Mar 15.","Hanuschkin A","J Comput Neurosci","2011","2011/03/16","PMC3232349","","10.1007/s10827-011-0318-z"
"19964575","On the cognitive neurodynamics of listening effort: a phase clustering analysis of large-scale neural correlates","Strauss DJ, Corona-Strauss FI, Bernarding C, Reith W, Latzel M, Froehlich M.","Annu Int Conf IEEE Eng Med Biol Soc. 2009;2009:2078-81. doi: 10.1109/IEMBS.2009.5333956.","Strauss DJ","Annu Int Conf IEEE Eng Med Biol Soc","2009","2009/12/08","","","10.1109/IEMBS.2009.5333956"
"8888166","Randomised controlled trial of treatment of chronic suppurative otitis media in Kenyan schoolchildren","Smith AW, Hatcher J, Mackenzie IJ, Thompson S, Bal I, Macharia I, Mugwe P, Okoth-Olende C, Oburra H, Wanjohi Z.","Lancet. 1996 Oct 26;348(9035):1128-33. doi: 10.1016/S0140-6736(96)09388-9.","Smith AW","Lancet","1996","1996/10/26","","","10.1016/S0140-6736(96)09388-9"
"29453491","Does hearing aid use affect audiovisual integration in mild hearing impairment?","Gieseler A, Tahden MAS, Thiel CM, Colonius H.","Exp Brain Res. 2018 Apr;236(4):1161-1179. doi: 10.1007/s00221-018-5206-6. Epub 2018 Feb 16.","Gieseler A","Exp Brain Res","2018","2018/02/18","","","10.1007/s00221-018-5206-6"
"37070340","Refinement of systemic guinea pig deafening in hearing research: Sensorineural hearing loss induced by co-administration of kanamycin and furosemide via the leg veins","Behrends W, Ahrens D, Bankstahl JP, Esser KH, Paasche G, Lenarz T, Scheper V.","Lab Anim. 2023 Dec;57(6):631-641. doi: 10.1177/00236772231167679. Epub 2023 Apr 18.","Behrends W","Lab Anim","2023","2023/04/18","","","10.1177/00236772231167679"
"29860544","Development of Improved Software Intelligent System for Audiological Solutions","Rajkumar S, Muttan S, Sapthagirivasan V, Jaya V, Vignesh SS.","J Med Syst. 2018 Jun 2;42(7):127. doi: 10.1007/s10916-018-0978-6.","Rajkumar S","J Med Syst","2018","2018/06/04","","","10.1007/s10916-018-0978-6"
"24325274","Effects of chronic cochlear electrical stimulation after an extended period of profound deafness on primary auditory cortex organization in cats","Fallon JB, Shepherd RK, Irvine DR.","Eur J Neurosci. 2014 Mar;39(5):811-20. doi: 10.1111/ejn.12445. Epub 2013 Dec 10.","Fallon JB","Eur J Neurosci","2014","2013/12/12","","","10.1111/ejn.12445"
"30926748","Vesicular Glutamatergic Transmission in Noise-Induced Loss and Repair of Cochlear Ribbon Synapses","Kim KX, Payne S, Yang-Hood A, Li SZ, Davis B, Carlquist J, V-Ghaffari B, Gantz JA, Kallogjeri D, Fitzpatrick JAJ, Ohlemiller KK, Hirose K, Rutherford MA.","J Neurosci. 2019 Jun 5;39(23):4434-4447. doi: 10.1523/JNEUROSCI.2228-18.2019. Epub 2019 Mar 29.","Kim KX","J Neurosci","2019","2019/03/31","PMC6554621","","10.1523/JNEUROSCI.2228-18.2019"
"32693613","Common Configurations of Real-Ear Aided Response Targets Prescribed by NAL-NL2 for Older Adults With Mild-to-Moderate Hearing Loss","Jensen J, Vyas D, Urbanski D, Garudadri H, Chipara O, Wu YH.","Am J Audiol. 2020 Sep 3;29(3):460-475. doi: 10.1044/2020_AJA-20-00025. Epub 2020 Jul 21.","Jensen J","Am J Audiol","2020","2020/07/23","PMC7842845","","10.1044/2020_AJA-20-00025"
"34661482","Functional Consequences of Poor Binaural Hearing in Development: Evidence From Children With Unilateral Hearing Loss and Children Receiving Bilateral Cochlear Implants","McSweeny C, Cushing SL, Campos JL, Papsin BC, Gordon KA.","Trends Hear. 2021 Jan-Dec;25:23312165211051215. doi: 10.1177/23312165211051215.","McSweeny C","Trends Hear","2021","2021/10/18","PMC8527588","","10.1177/23312165211051215"
"23654388","On the balance of envelope and temporal fine structure in the encoding of speech in the early auditory system","Shamma S, Lorenzi C.","J Acoust Soc Am. 2013 May;133(5):2818-33. doi: 10.1121/1.4795783.","Shamma S","J Acoust Soc Am","2013","2013/05/10","PMC3663870","","10.1121/1.4795783"
"33500489","The impact of tinnitus distress on cognition","Neff P, Simões J, Psatha S, Nyamaa A, Boecking B, Rausch L, Dettling-Papargyris J, Funk C, Brueggemann P, Mazurek B.","Sci Rep. 2021 Jan 26;11(1):2243. doi: 10.1038/s41598-021-81728-0.","Neff P","Sci Rep","2021","2021/01/27","PMC7838303","","10.1038/s41598-021-81728-0"
"2349949","Genetic mapping of X-linked albinism-deafness syndrome (ADFN) to Xq26.3-q27.I","Shiloh Y, Litvak G, Ziv Y, Lehner T, Sandkuyl L, Hildesheimer M, Buchris V, Cremers FP, Szabo P, White BN, et al.","Am J Hum Genet. 1990 Jul;47(1):20-7.","Shiloh Y","Am J Hum Genet","1990","1990/07/01","PMC1683749","",""
"27845260","An integrated model of pitch perception incorporating place and temporal pitch codes with application to cochlear implant research","Erfanian Saeedi N, Blamey PJ, Burkitt AN, Grayden DB.","Hear Res. 2017 Feb;344:135-147. doi: 10.1016/j.heares.2016.11.005. Epub 2016 Nov 12.","Erfanian Saeedi N","Hear Res","2017","2016/11/16","","","10.1016/j.heares.2016.11.005"
"32019957","A Precision Driver Device for Intraoperative Stimulation of a Bone Conduction Implant","Ghoncheh M, Lenarz T, Maier H.","Sci Rep. 2020 Feb 4;10(1):1797. doi: 10.1038/s41598-020-58512-7.","Ghoncheh M","Sci Rep","2020","2020/02/06","PMC7000405","","10.1038/s41598-020-58512-7"
"35122473","Ultrathin Eardrum-Inspired Self-Powered Acoustic Sensor for Vocal Synchronization Recognition with the Assistance of Machine Learning","Jiang Y, Zhang Y, Ning C, Ji Q, Peng X, Dong K, Wang ZL.","Small. 2022 Apr;18(13):e2106960. doi: 10.1002/smll.202106960. Epub 2022 Feb 5.","Jiang Y","Small","2022","2022/02/05","","","10.1002/smll.202106960"
"37481009","A multidimensional characterization of the neurocognitive architecture underlying age-related temporal speech processing","Elmer S, Kurthen I, Meyer M, Giroud N.","Neuroimage. 2023 Sep;278:120285. doi: 10.1016/j.neuroimage.2023.120285. Epub 2023 Jul 20.","Elmer S","Neuroimage","2023","2023/07/22","","","10.1016/j.neuroimage.2023.120285"
"35722856","Conformities and gaps of clinical audiological data with the international classification of functioning disability and health core sets for hearing loss","Afghah T, Schütze J, Meis M, Kollmeier B, Wagener KC.","Int J Audiol. 2023 Jun;62(6):552-561. doi: 10.1080/14992027.2022.2078433. Epub 2022 Jun 19.","Afghah T","Int J Audiol","2023","2022/06/20","","","10.1080/14992027.2022.2078433"
"8683366","[A longitudinal study of hearing level aggravation due to aging]","Ono Y.","Nihon Jibiinkoka Gakkai Kaiho. 1996 Apr;99(4):558-66. doi: 10.3950/jibiinkoka.99.558.","Ono Y","Nihon Jibiinkoka Gakkai Kaiho","1996","1996/04/01","","","10.3950/jibiinkoka.99.558"
"31553273","Dimensions of artefacts caused by cochlear and auditory brainstem implants in magnetic resonance imaging","Majdani E, Majdani O, Steffens M, Warnecke A, Lesinski-Schiedat A, Lenarz T, Götz F.","Cochlear Implants Int. 2020 Mar;21(2):67-74. doi: 10.1080/14670100.2019.1668617. Epub 2019 Sep 25.","Majdani E","Cochlear Implants Int","2020","2019/09/26","","","10.1080/14670100.2019.1668617"
"30009175","Potential of Gene and Cell Therapy for Inner Ear Hair Cells","Lee MY, Park YH.","Biomed Res Int. 2018 Jun 13;2018:8137614. doi: 10.1155/2018/8137614. eCollection 2018.","Lee MY","Biomed Res Int","2018","2018/07/17","PMC6020521","","10.1155/2018/8137614"
"38528140","Gene therapy for deafness: are we there now?","Moser T, Chen H, Kusch K, Behr R, Vona B.","EMBO Mol Med. 2024 Apr;16(4):675-677. doi: 10.1038/s44321-024-00058-6. Epub 2024 Mar 25.","Moser T","EMBO Mol Med","2024","2024/03/26","PMC11018804","","10.1038/s44321-024-00058-6"
"9556995","[Rehabilitation possibilities for hearing-impaired subjects]","Kapteyn TS.","Ned Tijdschr Geneeskd. 1998 Jan 10;142(2):63-7.","Kapteyn TS","Ned Tijdschr Geneeskd","1998","1998/04/29","","",""
"35785897","[Health hazards and hearing loss risk assessment of workers exposed to noise in an automobile manufacturing enterprise]","Liu T, Liu J, Han C, Liu YT, Zeng Q, Gu Q.","Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi. 2022 Jun 20;40(6):434-438. doi: 10.3760/cma.j.cn121094-20210615-00286.","Liu T","Zhonghua Lao Dong Wei Sheng Zhi Ye Bing Za Zhi","2022","2022/07/05","","","10.3760/cma.j.cn121094-20210615-00286"
"18403398","Hearing loss alters the subcellular distribution of presynaptic GAD and postsynaptic GABAA receptors in the auditory cortex","Sarro EC, Kotak VC, Sanes DH, Aoki C.","Cereb Cortex. 2008 Dec;18(12):2855-67. doi: 10.1093/cercor/bhn044. Epub 2008 Apr 9.","Sarro EC","Cereb Cortex","2008","2008/04/12","PMC2583158","","10.1093/cercor/bhn044"
"37790285","Investigation of hearing loss in elderly vertigo and dizziness patients in the past 10 years","Wang Q, Chen A, Hong M, Liu X, Du Y, Wu Z, Cheng W, Ji F.","Front Aging Neurosci. 2023 Sep 15;15:1225786. doi: 10.3389/fnagi.2023.1225786. eCollection 2023.","Wang Q","Front Aging Neurosci","2023","2023/10/04","PMC10543661","","10.3389/fnagi.2023.1225786"
"34772581","Sensorineural Hearing Loss in Nasopharyngeal Carcinoma Survivors in the Modern Treatment Era - The Early and Late Effects of Radiation and Cisplatin","Yip PL, Mok KCJ, Ho HS, Lee WYV, Wong ACL, Lau CT, Wong FCS, Yeung KW, Lee SF.","Clin Oncol (R Coll Radiol). 2022 Apr;34(4):e160-e167. doi: 10.1016/j.clon.2021.10.013. Epub 2021 Nov 10.","Yip PL","Clin Oncol (R Coll Radiol)","2022","2021/11/13","","","10.1016/j.clon.2021.10.013"
"37619212","Phytosterols reverse antiretroviral-induced hearing loss, with potential implications for cochlear aging","Sodero AO, Castagna VC, Elorza SD, Gonzalez-Rodulfo SM, Paulazo MA, Ballestero JA, Martin MG, Gomez-Casati ME.","PLoS Biol. 2023 Aug 24;21(8):e3002257. doi: 10.1371/journal.pbio.3002257. eCollection 2023 Aug.","Sodero AO","PLoS Biol","2023","2023/08/24","PMC10449472","","10.1371/journal.pbio.3002257"
"20095354","[Functional MRI in normal subjects and sudden unilateral sensorineural hearing loss patients]","Yang M, Liu B, Teng GJ, Huang ZC, Gao WW, Ji H, Wu M, Feng X, Zhang HY, Wang J.","Zhonghua Yi Xue Za Zhi. 2009 Sep 8;89(33):2329-32.","Yang M","Zhonghua Yi Xue Za Zhi","2009","2010/01/26","","",""
"7610889","Effects of chronic cochlear damage on threshold and frequency tuning of neurons in AI auditory cortex","Harrison RV, Stanton SG, Mount RJ.","Acta Otolaryngol Suppl. 1995;519:30-5. doi: 10.3109/00016489509121867.","Harrison RV","Acta Otolaryngol Suppl","1995","1995/01/01","","","10.3109/00016489509121867"
"32005308","Risk of hearing loss among multidrug-resistant tuberculosis patients according to cumulative aminoglycoside dose","Hong H, Dowdy DW, Dooley KE, Francis HW, Budhathoki C, Han HR, Farley JE.","Int J Tuberc Lung Dis. 2020 Jan 1;24(1):65-72. doi: 10.5588/ijtld.19.0062.","Hong H","Int J Tuberc Lung Dis","2020","2020/02/02","PMC7594545","NIHMS1582178","10.5588/ijtld.19.0062"
"27604785","Forward-Masked Frequency Selectivity Improvements in Simulated and Actual Cochlear Implant Users Using a Preprocessing Algorithm","Langner F, Jürgens T.","Trends Hear. 2016 Sep 7;20:2331216516659632. doi: 10.1177/2331216516659632.","Langner F","Trends Hear","2016","2016/09/09","PMC5017570","","10.1177/2331216516659632"
