ORN,VN,DB,UI,TI,SO,AU,AO,IN,PB,AB,FTURL,XL,PM
434,Ovid Technologies,Embase,362681100,Cell type-specific transcriptome analysis reveals a major role for Zeb1 and miR-200b in mouse inner ear morphogenesis.,"PLoS Genetics. 7(9) (no pagination), 2011. Article Number: e1002309. Date of Publication: September 2011.","Hertzano R.

Elkon R.

Kurima K.

Morrisson A.

Chan S.-L.

Sallin M.

Biedlingmaier A.

Darling D.S.

Griffith A.J.

Eisenman D.J.

Strome S.E.",,"(Hertzano, Morrisson, Chan, Sallin, Biedlingmaier, Eisenman, Strome) Department of Otorhinolaryngology-Head and Neck Surgery, University of Maryland, Baltimore, MD, United States

(Elkon) Division of Gene Regulation, The Netherlands Cancer Institute, Amsterdam, Netherlands

(Kurima, Griffith) Molecular Biology and Genetics Section, Otolaryngology Branch, National Institute on Deafness and Other Communication Disorders, National Institutes of Health, Rockville, MD, United States

(Darling) Department of Oral Health and Rehabilitation and Center for Genetics and Molecular Medicine, University of Louisville, Louisville, KY, United States","Public Library of Science (185 Berry Street, Suite 1300, San Francisco CA 94107, United States)","Cellular heterogeneity hinders the extraction of functionally significant results and inference of regulatory networks from wide-scale expression profiles of complex mammalian organs. The mammalian inner ear consists of the auditory and vestibular systems that are each composed of hair cells, supporting cells, neurons, mesenchymal cells, other epithelial cells, and blood vessels. We developed a novel protocol to sort auditory and vestibular tissues of newborn mouse inner ears into their major cellular components. Transcriptome profiling of the sorted cells identified cell type-specific expression clusters. Computational analysis detected transcription factors and microRNAs that play key roles in determining cell identity in the inner ear. Specifically, our analysis revealed the role of the Zeb1/miR-200b pathway in establishing epithelial and mesenchymal identity in the inner ear. Furthermore, we detected a misregulation of the ZEB1 pathway in the inner ear of Twirler mice, which manifest, among other phenotypes, malformations of the auditory and vestibular labyrinth. The association of misregulation of the ZEB1/miR-200b pathway with auditory and vestibular defects in the Twirler mutant mice uncovers a novel mechanism underlying deafness and balance disorders. Our approach can be employed to decipher additional complex regulatory networks underlying other hearing and balance mouse mutants. © 2011 Hertzano et al.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed12&DO=10.1371%2fjournal.pgen.1002309,SFX,21980309 [https://www.ncbi.nlm.nih.gov/pubmed/?term=21980309]
435,Ovid Technologies,Embase,360176338,"Experiences of the use of FOX, an intelligent agent, for programming cochlear implant sound processors in new users.","International Journal of Audiology. 50(1) (pp 50-58), 2011. Date of Publication: January 2010.","Vaerenberg B.

Govaerts P.J.

De Ceulaer G.

Daemers K.

Schauwers K.",,"(Vaerenberg, Govaerts, De Ceulaer, Daemers, Schauwers) Eargroup, Herentalsebaan 75, B-2100 Antwerp-Deurne, Belgium

(Vaerenberg) Laboratory of Biomedical Physics, University of Antwerp, Belgium

(Govaerts) CLiPS Research Center, University of Antwerp, Belgium","Informa Healthcare (69-77 Paul Street, London EC2A 4LQ, United Kingdom)","Objective. This report describes the application of the software tool ""Fitting to Outcomes eXpert"" (FOX) in programming the cochlear implant (CI) processor in new users. FOX is an intelligent agent to assist in the programming of CI processors. The concept of FOX is to modify maps on the basis of specific outcome measures, achieved using heuristic logic and based on a set of deterministic ""rules"". Design. A prospective study was conducted on eight consecutive CI-users with a follow-up of three months. Study Sample. Eight adult subjects with postlingual deafness were implanted with the Advanced Bionics HiRes90k device. The implants were programmed using FOX, running a set of rules known as Eargroup's EG0910 advice, which features a set of ""automaps"". The protocol employed for the initial 3 months is presented, with description of the map modifications generated by FOX and the corresponding psychoacoustic test results. Results. The 3 month median results show 25 dBHL as PTA, 77% (55 dBSPL) and 71% (70 dBSPL) phoneme score at speech audiometry and loudness scaling in or near to the normal zone at different frequencies. Conclusions. It is concluded that this approach is feasible to start up CI fitting and yields good outcome. © 2011 British Society of Audiology, International Society of Audiology, and Nordic Audiological Society.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed12&DO=10.3109%2f14992027.2010.531294,SFX,21091083 [https://www.ncbi.nlm.nih.gov/pubmed/?term=21091083]
436,Ovid Technologies,Embase,362779732,[Hearing the impact of MP3 on a survey of middle school students]. [Chinese],"Lin chuang er bi yan hou tou jing wai ke za zhi = Journal of clinical otorhinolaryngology, head, and neck surgery. 25(4) (pp 151-153), 2011. Date of Publication: Feb 2011.","Xu Z.

Li Z.

Chen Y.

He Y.

Chunyu X.

Wang F.

Zhang P.

Gao L.

Qiu S.

Liu S.

Qiao L.

Qiu J.",,"(Xu) Department of Otolaryngology, the First People's Hospital of Yongkang, Zhejiang Province, Yongkang, 321300, China.",,"To understand the usage of MP3 and effects on hearing of middle school students in Xi'an, and discuss controlling strategies. Stratified random cluster sampling method was used in the 1567 middle school students in Xi'an through questionnaire survey, ear examination and hearing examination, data were analysed by the SPSS13.0 statistical software. 1) The rate of holding MP3 in the middle school students was 85.2%. Average daily use time was (1.41 +/- 1.11) h. 2) The noise group of pure tone hearing threshold was significantly higher compared with the control group (P<0.01), and increased the detection rate of hearing loss with the increasing use of MP3. 3) The detection rate of symptoms increased with the increasing use of MP3. The usage of MP3 can harm hearing in middle school students, which can result in neurasthenic syndrome.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed12&AN=362779732,SFX,21563460 [https://www.ncbi.nlm.nih.gov/pubmed/?term=21563460]
437,Ovid Technologies,Embase,362345176,Development of auditory processing in 6- to 11-yr-old children.,"Ear and hearing. 32(3) (pp 269-285), 2011. Date of Publication: 2011 May-Jun.","Moore D.R.

Cowan J.A.

Riley A.

Edmondson-Jones A.M.

Ferguson M.A.",,"(Moore) MRC Institute of Hearing Research, University Park, Nottingham, United Kingdom.",,"The aim of this study is to provide developmental standards on a variety of temporal, spectral, and binaural psychoacoustic (auditory processing [AP]) tests in typically developing children, including immediate and delayed retest reliability, and comparisons between single listener performance on different tests. This study also informs choices on the selection of tests for clinical evaluation of hearing and listening (e.g., for auditory processing disorder). This is a laboratory-based study of AP threshold and variability of 75 children, aged 6 to 11 yrs, and 21 young adults with normal audiometry recruited from local schools and colleges. Data were gathered in clinic-like conditions, without training and across two sessions. Eleven individual (e.g., simultaneous masking and backward masking [BM], amplitude modulation [AM], and frequency modulation [FM] detection) and three derived (temporal integration, frequency resolution, masking level difference) measure tests were embedded within a suite of computer games, each employing a three-interval, three-alternative (odd-one-out) forced choice response paradigm and a staircase adaptive method. AP measures generally showed lower thresholds and reduced variance with increasing age. At 6 to 7 yrs, performance was markedly poorer than in the older groups; 35% of the children could not do the test of frequency discrimination (FD). However, on all the tasks, some children in the same group performed at near-adult levels. The distribution of performance between individuals varied widely across tasks, with clustered performance on tests of tone detection (with or without a simultaneous masker) and AM detection, and scattered performance on BM, FM detection, and FD. Threshold maturity was achieved at different rates across tests and by 10 to 11 yrs of age on all tests except FD. Masking level difference (MLD) performance did not change with age. Retest reliability was mostly high within test sessions but, again, was poorer for some of the younger children. Between test sessions separated by one to several weeks, reliability varied from poor (for FM detection) to high (for long tone detection in quiet, BM, and FD). Correlations between thresholds on different tests were generally low. Data suggest that the perception of different auditory stimuli occurs and develops using rather independent mechanisms, even for tasks that are closely related in procedure. While individual children can perform reliably on several distinct tasks, differences between individuals on the same tasks can be large. Because some of the youngest children perform reliably across time, at or near adult levels, immaturity between 6 and 11 yrs of age, as reflected in group statistics, reflects poor performance of some individual children rather than obligate, age-related deficits in AP. While several of the tests used were found to have potential clinical applicability, because of their reliability and ability to distinguish between individuals, it is currently unclear how performance on such tests relates to everyday listening skills.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed12&AN=362345176,SFX,21233712 [https://www.ncbi.nlm.nih.gov/pubmed/?term=21233712]
438,Ovid Technologies,Embase,560001034,"Prevalence of hearing impairement in the district of Lucknow, India.","Indian journal of public health. 55(2) (pp 132-134), 2011. Date of Publication: 2011 Apr-Jun.","Mishra A.

Verma V.

Shukla G.K.

Mishra S.C.

Dwivedi R.",,"(Mishra) Department of Otolaryngology, King George's Medical College, Lucknow, India.",,"A multi-cluster study (survey) was carried out by department of ENT KG Medical University, Lucknow from July 2003 to August 2004 in rural and urban population of Lucknow district to estimate prevalence and causes of hearing impairment in the community. Data included audiological profile and basic ear examination that was analysed through EARFORM software program of WHO. Overall hearing impairment was seen in 15.14% of rural as opposed to 5.9% of urban population. A higher prevalence of disabling hearing impairment (DHI) in elderly and deafness in 0-10 years age group was seen. The prevalence of sensorineural deafness necessitating hearing aids was 20% in rural and 50% in urban areas respectively. The presence of DHI was seen in 1/2 urban subjects and 1/3rd of rural counterparts. The incidence of cerumen / debris was very common in both types of population and the need of surgery was much more amongst rural subjects indicating more advanced / dangerous ear disease.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed12&DO=10.4103%2f0019-557X.85251,SFX,21941050 [https://www.ncbi.nlm.nih.gov/pubmed/?term=21941050]
439,Ovid Technologies,Embase,71294138,A phase III skin cancer chemoprevention study of DFMO in subjects with a history of non-melanoma skin cancer (NMSC): Follow-up of NMSC events greater than 5 years post-study participation.,"Cancer Prevention Research. Conference: AACR International Conference on Frontiers in Cancer Prevention Research 2011. Boston, MA United States. Conference Publication: (var.pagings). 4(10 SUPPL. 1) (no pagination), 2011. Date of Publication: October 2011.","Lamont S.M.

Kim K.

Havighurst T.

Mendonca E.

Wood G.S.

Snow S.

Bailey H.H.",,"(Lamont, Kim, Havighurst, Bailey) University of Wisconsin, Carbone Cancer Center, Madison, WI, United States

(Mendonca, Wood, Snow) University of Wisconsin, Madison, WI, United States",American Association for Cancer Research Inc.,"The most commonly diagnosed malignancy in the United States is non-melanoma skin cancer (NMSC) with > 2 million new cases of basal cell carcinoma (BCC) and squamous cell carcinoma (SCC) predicted for 2010. The economic burden and increasing incidence in younger populations, especially women, reinforces the value of skin cancer prevention. Health education and prior attempts at skin cancer chemoprevention have had limited success. A strong link between epithelial carcinogenesis and elevated polyamines, together with a series of phase I and II trials, led to a NCI-sponsored phase III double-blind, placebo-controlled skin cancer chemoprevention trial of alpha-difluoromethylornithine (DFMO) (500 mg/m2/day) for 4-5 years in 291 subjects with a history of NMSC. Subjects receiving DFMO developed significantly fewer BCC s than placebo subjects with an event rate of 0.28 BCC/person/year versus 0.40 BCC/person/year, (P = 0.03; Total BCCs: DFMO 163, placebo 243). DFMO appeared to have minimal effects on SCC incidence (DFMO 0.15 SCC/person/year, placebo 0.19, p=0.56; Total SCCs: DFMO 95, placebo 115). Subjects tolerated DFMO well, and the only significant observed toxicity was increased audiometric hearing loss. A key issue in the clinical viability of a chemoprevention agent after acute effectiveness and/or tolerance is the latent effectiveness and/or toxicity of the agent. Such effects attributable to DFMO have not been assessed. Earlier chemoprevention research has observed positive and negative latent effects with chemopreventive agents. Use of tamoxifen (5 years) for breast cancer prevention provided continued or greater protection for up to 10 years after drug stoppage. On the contrary, early work with retinoids in oral cancer prevention implied a rebound effect with subjects developing more neoplasms upon discontinuation. Also, the recent linkage between isotretinoin and inflammatory bowel disease is a concerning example of toxicity experienced years after use of a chronically administered agent. The continued interest in DFMO as a chemopreventive agent provided cause to update the clinical data and overall health status of the 291 subjects from the phase III skin cancer prevention study of DFMO to understand the sustainability of the observed DFMO effects. After institutional review board approval, we reviewed medical records of 243 subjects who received care at UW Health. Individual records were manually reviewed, and a pending comparative review of data mining by Natural Language Processing will also be completed. Both reviews focused on the skin cancer events by histology, other neoplasia (invasive and non-invasive), significant other diagnoses, and survival. The rate of skin cancer recurrence from end of study drug to the time of last medical contact (the primary endpoint) was compared between subjects randomized to DFMO or placebo using a two-sample test for primary analysis. As a secondary analysis, the rate of skin cancer recurrence from randomization to the time of last medical contact was also compared. In an exploratory analysis, the primary endpoint was analyzed using Poisson regression models to account for the baseline patient/disease characteristics at the time of randomization such as sex and age of patients and pre-study skin cancer history. Data from the 243 subjects totaling over 2,300 person years is undergoing further validation and preliminary data analysis, and will be available shortly.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed12&DO=10.1158%2f1940-6207.PREV-11-A52,SFX,
440,Ovid Technologies,Embase,362932314,WHO Ear and Hearing Disorders Survey in four provinces in China.,"Audiological Medicine. 9(4) (pp 141-146), 2011. Date of Publication: December 2011.","Bu X.

Liu C.

Xing G.

Zhou L.

Liang C.

Zheng Y.

Meng J.

Wang Y.

Yang C.

Liu Y.

Zhang Y.

Du B.",,"(Bu, Liu, Xing, Zhou) First Affiliated Hospital with Nanjing Medical University, WHO Collaborating Centre for Prevention of Deafness and Hearing Impairment, 300 Guang Zhou Rd., Nanjing 210029, China

(Liang, Zheng, Meng) Huaxi Hospital Sichuan University, Nanjing 210029, China

(Wang, Yang, Liu) Guizhou Province Hospital, Nanjing 210029, China

(Du, Zhang, Du) First Hospital Jilin University, Nanjing 210029, China","Informa Healthcare (69-77 Paul Street, London EC2A 4LQ, United Kingdom)","Objective: To investigate the population based prevalence of ear diseases and hearing impairment in Jiangsu, Sichuan, Guizhou and Jilin Provinces in China, develop strategies to provide scientific data for the global database and to draw up prevention and intervention strategies. Method(s): Using the WHO Ear and Hearing Disorders Survey Protocol and the probability proportion to size (PPS) sampling technique, 30,733 residents were targeted for investigation in 150 clusters in four provinces. Every subject had an ear examination and pure tone audiometry. Definitions of disabling hearing loss and the classification of hearing impairment used were in accordance with WHO recommendations. Result(s): Among 30,733 targeted residents, 29,246 individuals (95.2%) participated in the survey. One thousand, three hundred and sixty individuals (4.4%) were absent; 127 individuals (0.4%) refused. The prevalences of hearing impairment and disabling hearing impairment were 14.2% and 5.2% of investigated individuals, respectively: 9.1% of the sample had a mild hearing loss, 3.8% a moderate degree of hearing loss, 1.1% a severe and 0.3% a profound hearing loss. Using data from the fifth population census in China (2000), we calculated the standardized rates of hearing impairment and hearing disability in our study to be 11.7% and 4.4%, respectively. There was a significant difference in the prevalence between males and females, urban and rural dwellers, as well as for different ages. The prevalence of ear diseases was 6.5% of investigated individuals: the standardized rate was 5.9%; 0.2% of investigated individuals had auricle malformation, 2.2% impacted cerumen, 0.2% otitis externa, 0.3% fungi, 0.1% foreign body, 0.1% acute otitis media, 0.9% chronic suppurative otitis media, 1.8% serous otitis media and 1.3% dry perforation of tympanic membrane. Overall, 8.0% of investigated persons were assessed to be likely to benefit from hearing aids, while 4.0% of persons needed medication, 0.1% language/speech rehabilitation, 1.5% non-urgent surgery and 0.9% other treatment. Conclusion(s): The high prevalence of hearing impairment and disability is a heavy burden on social development and also hinders normal family life. The government and society as a whole should show more concern about these problems. Strategies for prevention and intervention should be focused on less developed regions, rural areas, aging people and non-infectious conditions. Hearing aids services, medication, professional education and training are particularly important in developing countries. © 2011 Informa Healthcare.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed12&DO=10.3109%2f1651386X.2011.631285,SFX,
441,Ovid Technologies,Embase,362860760,Randomized trial of a hearing conservation intervention for rural students: Long-term outcomes.,"Pediatrics. 128(5) (pp e1139-e1146), 2011. Date of Publication: November 2011.","Marlenga B.

Linneman J.G.

Pickett W.

Wood D.J.

Kirkhorn S.R.

Broste S.K.

Knobloch M.J.

Berg R.L.",,"(Marlenga) National Farm Medicine Center, Marshfield Clinic Research Foundation, Marshfield, WI, United States

(Linneman, Berg) Biomedical Informatics Research Center, Marshfield Clinic Research Foundation, Marshfield, WI, United States

(Pickett) Department of Emergency Medicine, Queen's University, Kingston, ON, Canada

(Pickett) Department of Community Health and Epidemiology, Queen's University, Kingston, ON, Canada

(Wood) Department of Audiology, Marshfield Clinic, Marshfield, WI, United States

(Kirkhorn) Department of Occupational Health, Marshfield Clinic, Marshfield, WI, United States

(Broste) Division of Education, Marshfield Clinic, Marshfield, WI, United States

(Knobloch) Department of Biostatistics and Data Management, Medtronics Neuromodulation, Minneapolis, MN, United States","American Academy of Pediatrics (141 Northwest Point Blvd, P.O. Box 927, Elk Grove Village IL 60007-1098, United States)","OBJECTIVES: We had the rare opportunity to conduct a cluster-randomized controlled trial to observe the long-term (16-year) effects of a well-designed hearing conservation intervention for rural high school students. This trial assessed whether the intervention resulted in (1) reduced prevalence of noise-induced hearing loss (NIHL) assessed clinically and/or (2) sustained use of hearing protection devices. METHOD(S): In 1992-1996, 34 rural Wisconsin schools were recruited and 17 were assigned randomly to receive a comprehensive, 3-year, hearing conservation intervention. In 2009 -2010, extensive efforts were made to find and contact all students who completed the original trial. Participants in the 16-year follow-up study completed an exposure history questionnaire and a clinical audiometric examination. Rates of NIHL and use of hearing protection were compared. RESULT(S): We recruited 392 participants from the original trial, 200 (53%) from the intervention group and 192 (51%) from the control group. Among participants with exposure to agricultural noise, the intervention group reported significantly greater use of hearing protection compared with the control group (25.9% vs 19.6%; P=.015). The intervention group also reported significantly greater use of hearing protection for shooting guns (56.2% vs 41.6%; P = .029), but the groups reported similar uses of protection in other contexts. There was no significant difference between groups with respect to objective measures of NIHL. CONCLUSION(S): This novel trial provides objective evidence that a comprehensive educational intervention by itself may be of limited effectiveness in preventing NIHL in a young rural population. Copyright © 2011 by the American Academy of Pediatrics.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed12&DO=10.1542%2fpeds.2011-0770,SFX,21987700 [https://www.ncbi.nlm.nih.gov/pubmed/?term=21987700]
442,Ovid Technologies,Embase,51158217,Multiple effects of childhood deafness on cortical activity in children receiving bilateral cochlear implants simultaneously.,"Clinical Neurophysiology. 122(4) (pp 823-833), 2011. Date of Publication: April 2011.","Gordon K.A.

Tanaka S.

Wong D.D.E.

Stockley T.

Ramsden J.D.

Brown T.

Jewell S.

Papsin B.C.",,"(Gordon, Tanaka, Wong, Jewell, Papsin) Archie's Cochlear Implant Laboratory, The Hospital for Sick Children, Toronto, Canada

(Gordon, Papsin) Department of Otolaryngology-Head and Neck Surgery, University of Toronto, Canada

(Stockley) Department of Pediatric Laboratory Medicine, The Hospital for Sick Children, Toronto, Canada

(Tanaka) Department of Physiology, University of Toronto, Canada

(Wong) Institute of Biomaterials and Biomedical Engineering, University of Toronto, Canada

(Ramsden) ENT Department, University of Oxford, John Radcliffe Hospital, Oxford, United Kingdom

(Brown) Auditory Science Laboratory, The Hospital for Sick Children, Toronto, Canada","Elsevier Ireland Ltd (P.O. Box 85, Limerick, Ireland)","Objective: Auditory development is disrupted without normal hearing but might proceed to some extent depending on the type and onset of deafness. We therefore hypothesized that activity in the auditory cortex would be highly variable in children who are deaf. Method(s): To answer this, activity in the deaf brain was evoked by electrical pulses from newly provided bilateral cochlear implants (CIs) in 72 children (n=144 responses). Result(s): Responses were categorized by visual inspection into 3 main types which were validated by principal component cluster analyses; 49% had a negative amplitude wave similar to that previously reported in pre-term infants, 26% were dominated by a positive peak typical of responses in young normal hearing children and experienced paediatric CI users, 25% were novel multi-peaked responses. No significant demographic differences, including duration and onset of deafness, were found between response types. However, children with severe biallelic mutations of GJB-2 showed predominately negative peak type responses (79%) as compared with their peers without these mutations who had a more equal distribution between cortical response types. Conclusion(s): Cortical development in children who are deaf is heterogeneous but can be better predicted when the genotype is known to be a GJB-2 mutation. Significance: Remediation of childhood deafness seeks to restore normal development and function of central auditory functions and thus may need to be tailored to account for effects specific to the aetiology of deafness. © 2010 International Federation of Clinical Neurophysiology.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed12&DO=10.1016%2fj.clinph.2010.10.037,SFX,21094084 [https://www.ncbi.nlm.nih.gov/pubmed/?term=21094084]
443,Ovid Technologies,Embase,362315711,Behavioral training enhances cortical temporal processing in neonatally deafened juvenile cats.,"Journal of Neurophysiology. 106(2) (pp 944-959), 2011. Date of Publication: August 2011.","Beitel R.E.

Vollmer M.

Raggio M.W.

Schreiner C.E.",,"(Beitel, Vollmer, Raggio, Schreiner) Saul and Ida Epstein Laboratory, Department of Otolaryngology-Head and Neck Surgery, University of California, San Francisco, CA, United States

(Vollmer) Comprehensive Hearing Center, Department of Otolaryngology, Head and Neck Surgery, University Hospital Wurzburg, Wurzburg, Germany

(Raggio) College of Health and Human Services, San Francisco State University, San Francisco, CA, United States","American Physiological Society (9650 Rockville Pike, Bethesda MD 20814-3991, United States)","Deaf humans implanted with a cochlear prosthesis depend largely on temporal cues for speech recognition because spectral information processing is severely impaired. Training with a cochlear prosthesis is typically required before speech perception shows improvement, suggesting that relevant experience modifies temporal processing in the central auditory system. We tested this hypothesis in neonatally deafened cats by comparing temporal processing in the primary auditory cortex (AI) of cats that received only chronic passive intracochlear electric stimulation (ICES) with cats that were also trained with ICES to detect temporally challenging trains of electric pulses. After months of chronic passive stimulation and several weeks of detection training in behaviorally trained cats, multineuronal AI responses evoked by temporally modulated ICES were recorded in anesthetized animals. The stimulus repetition rates that produced the maximum number of phase-locked spikes (best repetition rate) and 50% cutoff rate were significantly higher in behaviorally trained cats than the corresponding rates in cats that received only chronic passive ICES. Behavioral training restored neuronal temporal following ability to levels comparable with those recorded in naive prior normal-hearing adult deafened animals. Importantly, best repetitition rates and cutoff rates were highest for neuronal clusters activated by the electrode configuration used in behavioral training. These results suggest that neuroplasticity in the AI is induced by behavioral training and perceptual learning in animals deprived of ordinary auditory experience during development and indicate that behavioral training can ameliorate or restore temporal processing in the AI of profoundly deaf animals. © 2011 the American Physiological Society.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed12&DO=10.1152%2fjn.00731.2010,SFX,21543753 [https://www.ncbi.nlm.nih.gov/pubmed/?term=21543753]
444,Ovid Technologies,Embase,50436052,Neural correlates of age-related declines in frequency selectivity in the auditory midbrain.,"Neurobiology of Aging. 32(1) (pp 168-178), 2011. Date of Publication: January 2011.","Leong U.-C.

Barsz K.

Allen P.D.

Walton J.P.",,"(Leong, Barsz, Allen, Walton) Department of Otolaryngology, University of Rochester, School of Medicine and Dentistry, 601 Elmwood Avenue, Rochester, NY 14642-8629, United States

(Allen) Department of Brain and Cognitive Science, University of Rochester, Rochester, NY 14627, United States","Elsevier Inc. (360 Park Avenue South, New York NY 10010, United States)","Reduced frequency selectivity is associated with an age-related decline in speech recognition in background noise and reverberant environments. To elucidate neural correlates of age-related alteration in frequency selectivity, the present study examined frequency response areas (FRAs) of multi-unit clusters in the inferior colliculus of young, middle-aged, and old CBA/CaJ mice. The FRAs in middle-aged and old mice were found to be broader and more asymmetric in shape. In addition to a decrease of closed/complex FRAs in both middle age and old groups, there was a transient decrease in V-shaped FRAs and a concomitant increase in multipeak FRAs in middle age. Intensity coding was also affected by age, as observed in an increase of monotonic responses in middle-aged and old mice. While a decline in low-level activity began in middle age, reduced driven rates at suprathreshold levels occurred later in old age. Collectively, these results support the view that aging alters frequency selectivity by widening excitatory FRAs and that these changes begin to appear in middle age. © 2009 Elsevier Inc.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed12&DO=10.1016%2fj.neurobiolaging.2009.01.006,SFX,19246123 [https://www.ncbi.nlm.nih.gov/pubmed/?term=19246123]
445,Ovid Technologies,Embase,360295500,[The application of improved CHQS for mass epidemiology study on hearing impairment]. [Chinese],"Lin chuang er bi yan hou tou jing wai ke za zhi = Journal of clinical otorhinolaryngology, head, and neck surgery. 24(1) (pp 19-20, 24), 2010. Date of Publication: Jan 2010.","Liu C.

Xing G.

Xu X.

Chen Z.

Zhou H.

Wang D.

Tian H.

Bu X.",,"(Liu) Department of Otorhinolaryngology, the First Affiliated Hospital of Nanjing Medical University, Nanjing, 210029, China.",,"To develop and evaluate the improved Chinese hearing questionnaire for school children (CHQS) for mass epidemiology study on hearing impairment in China. Using the probability proportion to size (PPS) method, 8412 residents were investigated in 40 clusters in Jiangsu province with the WHO ear diseases and hearing disorders survey protocol. 87.9% of the residents aged 7 years and over answered the questionnaire and accepted the pure tone audiometry. The prevalence of hearing impairment was 12.9% by the questionnaire. Compared with ""golden standard"" (pure tone audiometry), Sen = 58.5%, Spe = 96.7%, PV+ = 78.9%, PV- = 91.7%, overall accuracy = 90.0%. The sensitivity for women was higher than men. The questionnaire produced high efficiency and specificity values. It could be used in mass hearing screening, particularly in remote and rural area, although the sensitivity was as low as most questionnaires.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed11&AN=360295500,SFX,20235451 [https://www.ncbi.nlm.nih.gov/pubmed/?term=20235451]
446,Ovid Technologies,Embase,362668619,[Functional MRI study of auditory cortical responses in normal subjects and unilateral sensorineural hearing loss subjects]. [Chinese],"Lin chuang er bi yan hou tou jing wai ke za zhi = Journal of clinical otorhinolaryngology, head, and neck surgery. 24(22) (pp 1018-1022), 2010. Date of Publication: Nov 2010.","Ji H.

Huang Z.

Yang M.

Feng X.

Meng L.",,"(Ji) Department of Otorhinolaryngology, Zhongda Hospital of Southeast University, Nanjing, 210009, China.",,"Amplitude modulation of auditory cortical responses was evaluated with functional MRI (fMRI) in subjects of unilateral sensorineural hearing loss (USNHL) and those of normal hearing (NH). Twenty-one subjects with USNHL and 11 with normal hearing were examined with fMRI in response to amplitude modulation tones of 500 Hz with the modulation frequency at 8 Hz. An event related design was combined with a sparse clustered volume acquisitioning paradigm in data collection in order to reduce the influence of acoustic scanner noise. SPM2 software was used for offline data analyzing. Significant activation, including volume and intensity, were found in the temporal lobe of control subjects, and significant differences in the volume and intensity were noted between the contralateral and ipsilateral activated auditory cortexes in them, exhibiting clearly contralateral predominance. When the normal ear with unilateral sensorineural hearing loss received signals, while significant activations in bilateral auditory cortexes, greater activation in the contralateral auditory cortexes was found in the normal ear. The difference in the lateralization between the two groups suggests the plasticity of auditory cortex with unilateral sensorineural hearing loss.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=emed11&AN=362668619,SFX,21322926 [https://www.ncbi.nlm.nih.gov/pubmed/?term=21322926]
