ORN,VN,DB,AN,TI,DP,YR,PH,AU,MA,SO,MO,OL,AB,CP,JN,VO,IP,PG,FTURL,XL,PE,OC,CA,PS,URL
37,Ovid Technologies,APA PsycInfo,2013-00518-012,"Salicylate-induced cochlear impairments, cortical hyperactivity and re-tuning, and tinnitus. [References].",Jan 2013,2013,"First Posting: Nov 2012

Accepted: Nov 2012

Revised: Nov 2012

First Submitted: Jul 2012.","Chen, Guang-Di

Stolzberg, Daniel

Lobarinas, Edward

Sun, Wei

Ding, Dalian

Salvi, Richard","Chen, Guang-Di: gchen7@buffalo.edu","Hearing Research. Vol.295, 2013, pp. 100-113.",Jan,,"High doses of sodium salicylate (SS) have long been known to induce temporary hearing loss and tinnitus, effects attributed to cochlear dysfunction. However, our recent publications reviewed here show that SS can induce profound, permanent, and unexpected changes in the cochlea and central nervous system. Prolonged treatment with SS permanently decreased the cochlear compound action potential (CAP) amplitude in vivo. In vitro, high dose SS resulted in a permanent loss of spiral ganglion neurons and nerve fibers, but did not damage hair cells. Acute treatment with high-dose SS produced a frequency-dependent decrease in the amplitude of distortion product otoacoustic emissions and CAP. Losses were greatest at low and high frequencies, but least at the mid-frequencies (10-20 kHz), the mid-frequency band that corresponds to the tinnitus pitch measured behaviorally. In the auditory cortex, medial geniculate body and amygdala, high-dose SS enhanced sound-evoked neural responses at high stimulus levels, but it suppressed activity at low intensities and elevated response threshold. When SS was applied directly to the auditory cortex or amygdala, it only enhanced sound evoked activity, but did not elevate response threshold. Current source density analysis revealed enhanced current flow into the supragranular layer of auditory cortex following systemic SS treatment. Systemic SS treatment also altered tuning in auditory cortex and amygdala; low frequency and high frequency multiunit clusters up-shifted or down-shifted their characteristic frequency into the 10-20 kHz range thereby altering auditory cortex tonotopy and enhancing neural activity at mid-frequencies corresponding to the tinnitus pitch. These results suggest that SS-induced hyperactivity in auditory cortex originates in the central nervous system, that the amygdala potentiates these effects and that the SS-induced tonotopic shifts in auditory cortex, the putative neural correlate of tinnitus, arises from the interaction between the frequency-dependent losses in the cochlea and hyperactivity in the central nervous system. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","STATEMENT: All rights reserved.
HOLDER: Elsevier B.V.
YEAR: 2012",Hearing Research,295,,100-113,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc12&DO=10.1016%2fj.heares.2012.11.016
38,Ovid Technologies,APA PsycInfo,2012-04714-014,Pseudohypacusis in childhood and adolescence is associated with increased gray matter volume in the medial frontal gyrus and superior temporal gyrus. [References].,Apr 2012,2012,"First Posting: Oct 2010

Accepted: Sep 2010

Revised: Jul 2010

First Submitted: May 2010.","Tomoda, Akemi

Kinoshita, Sumihito

Korenaga, Yuki

Mabe, Hiroyo","Tomoda, Akemi: tomo@kumamoto-u.ac.jp","Cortex: A Journal Devoted to the Study of the Nervous System and Behavior. Vol.48,(4), 2012, pp. 492-503.",Apr,,"Pseudohypacusis is a somatoform disorder characterized by hearing loss with discrepancies between pure-tone audiometry and auditory brainstem response (ABR), but the underlying neuronal mechanisms remain unclear. Using voxel-based morphometry (VBM) with magnetic resonance (MR) imaging for 14 unmedicated, right-handed patients and 35 healthy control subjects, we investigated whether functional hearing loss was associated with discernible changes of brain morphology. Group differences in gray matter volume (GMV) were assessed using high-resolution, T1-weighted, volumetric MR imaging datasets (3T Trio scanner; Siemens AG) and analyzed with covariant factors of age, sex, socioeconomic status (SES), and total GMV, which was increased by 27.9% in the left medial frontal gyrus (MFG) (Brodmann area 10) (p =.001, corrected cluster level) and by 14.4% in the right superior temporal gyrus (STG) and the adjacent middle temporal gyrus (MTG) (BA42 to 21) (p =.009, corrected cluster level) in patients with pseudohypacusis. The GMV in the right STG (BA42) and verbal intelligence quotient (IQ) were correlated significantly with the Wechsler Intelligence Scale for Children-Third Edition (WISC-III) (s =-.57, p <.0001) and level of SES (s =-.55, p <.0001). The present findings suggest that the development of the auditory association cortex involved in language processing is affected, causing insufficient pruning during brain development. We therefore assert that differences in the neuroanatomical substrate of pseudohypacusis subjects result from a developmental disorder in auditory processing. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","STATEMENT: All rights reserved.
HOLDER: Elsevier Srl.
YEAR: 2010",Cortex: A Journal Devoted to the Study of the Nervous System and Behavior,48,4,492-503,Click here for full text options,SFX,,"Masson Italia, Italy",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc11&DO=10.1016%2fj.cortex.2010.10.001
39,Ovid Technologies,APA PsycInfo,2012-02338-007,Multivariate DPOAE metrics for identifying changes in hearing: Perspectives from ototoxicity monitoring. [References].,Feb 2012,2012,"Accepted: Oct 2011

First Submitted: Oct 2011.","Konrad-Martin, Dawn

Reavis, Kelly M

McMillan, Garnett P

Dille, Marilyn F","Konrad-Martin, Dawn: dawn.martin@va.gov","International Journal of Audiology. Vol.51,(Suppl 1), 2012, pp. S51-S62.",Feb,,"Distortion-product otoacoustic emissions (DPOAEs) provide a window into real-time cochlear mechanical function. Yet, relationships between the changes in DPOAE metrics and auditory sensitivity are still poorly understood. Explicating these relationships might support the use of DPOAEs in hearing conservation programs (HCPs) for detecting early damage leading to noise-induced hearing loss (NIHL) so that mitigating steps might be taken to limit any lasting damage. This report describes the development of DPOAE-based statistical models to assess the risk of hearing loss from cisplatin treatment among cancer patients. Ototoxicity risk assessment (ORA) models were constructed using a machine learning paradigm in which partial least squares and leave-one-out cross-validation were applied, yielding optimal screening algorithms from a set of known risk factors for ototoxicity and DPOAE changes from pre-exposure baseline measures. Single DPOAE metrics alone were poorer indicators of the risk of ototoxic hearing shifts than the best performing multivariate models. This finding suggests that multivariate approaches applied to the use of DPOAEs in a HCP, will improve the ability of DPOAE measures to identify ears with noise-induced mechanical damage and/or hearing loss at each monitoring interval. This prediction must be empirically assessed in noise-exposed subjects. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","HOLDER: British Society of Audiology, International Society of Audiology, and Nordic Audiological Society
YEAR: 2012",International Journal of Audiology,51,Suppl 1,S51-S62,Click here for full text options,SFX,,"Taylor & Francis, United Kingdom",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc11&DO=10.3109%2f14992027.2011.635713
40,Ovid Technologies,APA PsycInfo,2011-04780-046,Multiple effects of childhood deafness on cortical activity in children receiving bilateral cochlear implants simultaneously. [References].,Apr 2011,2011,"First Posting: Nov 2010

Accepted: Oct 2010.","Gordon, K. A

Tanaka, S

Wong, D. D. E

Stockley, T

Ramsden, J. D

Brown, T

Jewell, S

Papsin, B. C","Gordon, K. A.: karen.gordon@utoronto.ca","Clinical Neurophysiology. Vol.122,(4), 2011, pp. 823-833.",Apr,Electroencephalography & Clinical Neurophysiology,"Objective: Auditory development is disrupted without normal hearing but might proceed to some extent depending on the type and onset of deafness. We therefore hypothesized that activity in the auditory cortex would be highly variable in children who are deaf. Methods: To answer this, activity in the deaf brain was evoked by electrical pulses from newly provided bilateral cochlear implants (CIs) in 72 children (n = 144 responses). Results: Responses were categorized by visual inspection into 3 main types which were validated by principal component cluster analyses; 49% had a negative amplitude wave similar to that previously reported in pre-term infants, 26% were dominated by a positive peak typical of responses in young normal hearing children and experienced paediatric CI users, 25% were novel multi-peaked responses. No significant demographic differences, including duration and onset of deafness, were found between response types. However, children with severe biallelic mutations of GJB-2 showed predominately negative peak type responses (79%) as compared with their peers without these mutations who had a more equal distribution between cortical response types. Conclusion: Cortical development in children who are deaf is heterogeneous but can be better predicted when the genotype is known to be a GJB-2 mutation. Significance: Remediation of childhood deafness seeks to restore normal development and function of central auditory functions and thus may need to be tailored to account for effects specific to the aetiology of deafness. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","STATEMENT: All rights reserved.
HOLDER: International Federation of Clinical Neurophysiology
YEAR: 2010",Clinical Neurophysiology,122,4,823-833,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc10&DO=10.1016%2fj.clinph.2010.10.037
41,Ovid Technologies,APA PsycInfo,2011-30013-004,Randomized trial of a hearing conservation intervention for rural students: Long-term outcomes. [References].,Nov 2011,2011,Accepted: Jul 2011.,"Marlenga, Barbara

Linneman, James G

Pickett, William

Wood, Douglas J

Kirkhorn, Steven R

Broste, Steven K

Knobloch, Mary Jo

Berg, Richard L","Marlenga, Barbara: marlenga.barbara@mcrf.mfldclin.edu","Pediatrics. Vol.128,(5), 2011, pp. e1139-e1146.",Nov,,"Objectives: We had the rare opportunity to conduct a cluster-randomized controlled trial to observe the long-term (16-year) effects of a well-designed hearing conservation intervention for rural high school students. This trial assessed whether the intervention resulted in (1) reduced prevalence of noise-induced hearing loss (NIHL) assessed clinically and/or (2) sustained use of hearing protection devices. Methods: In 1992-1996, 34 rural Wisconsin schools were recruited and 17 were assigned randomly to receive a comprehensive, 3-year, hearing conservation intervention. In 2009 -2010, extensive efforts were made to find and contact all students who completed the original trial. Participants in the 16-year follow-up study completed an exposure history questionnaire and a clinical audiometric examination. Rates of NIHL and use of hearing protection were compared. Results: We recruited 392 participants from the original trial, 200 (53%) from the intervention group and 192 (51%) from the control group. Among participants with exposure to agricultural noise, the intervention group reported significantly greater use of hearing protection compared with the control group (25.9% vs 19.6%; P = .015). The intervention group also reported significantly greater use of hearing protection for shooting guns (56.2% vs 41.6%; P = .029), but the groups reported similar uses of protection in other contexts. There was no significant difference between groups with respect to objective measures of NIHL. Conclusion: This novel trial provides objective evidence that a comprehensive educational intervention by itself may be of limited effectiveness in preventing NIHL in a young rural population. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","HOLDER: American Academy of Pediatrics
YEAR: 2011",Pediatrics,128,5,e1139-e1146,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc10&DO=10.1542%2fpeds.2011-0770
42,Ovid Technologies,APA PsycInfo,2011-21669-041,Behavioral training enhances cortical temporal processing in neonatally deafened juvenile cats. [References].,Aug 2011,2011,"First Posting: May 2011

Accepted: May 2011

First Submitted: Aug 2010.","Beitel, Ralph E

Vollmer, Maike

Raggio, Marcia W

Schreiner, Christoph E","Beitel, Ralph E.: beitel@keck.ucsf.edu","Journal of Neurophysiology. Vol.106,(2), 2011, pp. 944-959.",Aug,,"Deaf humans implanted with a cochlear prosthesis depend largely on temporal cues for speech recognition because spectral information processing is severely impaired. Training with a cochlear prosthesis is typically required before speech perception shows improvement, suggesting that relevant experience modifies temporal processing in the central auditory system. We tested this hypothesis in neonatally deafened cats by comparing temporal processing in the primary auditory cortex (AI) of cats that received only chronic passive intracochlear electric stimulation (ICES) with cats that were also trained with ICES to detect temporally challenging trains of electric pulses. After months of chronic passive stimulation and several weeks of detection training in behaviorally trained cats, multineuronal AI responses evoked by temporally modulated ICES were recorded in anesthetized animals. The stimulus repetition rates that produced the maximum number of phase-locked spikes (best repetition rate) and 50% cutoff rate were significantly higher in behaviorally trained cats than the corresponding rates in cats that received only chronic passive ICES. Behavioral training restored neuronal temporal following ability to levels comparable with those recorded in naive prior normal-hearing adult deafened animals. Importantly, best repetitition rates and cutoff rates were highest for neuronal clusters activated by the electrode configuration used in behavioral training. These results suggest that neuroplasticity in the AI is induced by behavioral training and perceptual learning in animals deprived of ordinary auditory experience during development and indicate that behavioral training can ameliorate or restore temporal processing in the AI of profoundly deaf animals. (PsycInfo Database Record (c) 2022 APA, all rights reserved)","HOLDER: American Physiological Society
YEAR: 2011",Journal of Neurophysiology,106,2,944-959,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc10&DO=10.1152%2fjn.00731.2010
43,Ovid Technologies,APA PsycInfo,2011-99080-055,A cochlear stress hormone axis shapes development and function of the auditory periphery.DP  - 2011,,2011,,"Graham, Christine Elizabeth",,"Dissertation Abstracts International: Section B: The Sciences and Engineering. Vol.71,(10-B), 2011, pp. 5957.",,Dissertation Abstracts International,"Corticotropin Releasing Factor (CRF) is the stress hormone that activates the hypothalamic-pituitary-adrenal axis to maintain system-wide homeostasis in response to stress. This thesis describes a CRF signaling system contained in the cochlea and explores its role in auditory processing and protection. To investigate the role of CRF signaling in the cochlea, two transgenic mouse strains were used, each lacking one of the CRF receptors expressed in mammals, CRFR1 or CRFR2. Auditory Brainstem Response (ABR) thresholds and Distortion Product Otoacoustic Emission ii (DPOAE) isoresponse thresholds were measured to assess auditory function. CRFR2 null mice exhibit hypersensitive hearing when raised under quiet conditions, but increased susceptibility to noise-induced hearing loss (NIHL). Immunofluorescent labeling of CRFR2 localizes the receptor to the afferent spiral ganglion neurons and support cells lining the cochlear duct. Genetic ablation of CRFR2 elicits changes in both cell types. Using western blot analysis, alterations in glutamate receptor expression were observed in CRFR2 null mice, suggesting a potential regulatory role for CRFR2 in hair cell to spiral ganglion cell glutamatergic transmission. Also, CRFR2 null mice show deficient expression of connexin proteins important for support cell communication. Connexin deficiency in these mice coincides with altered levels of purinergic receptors and potassium channel proteins, suggesting a potential link between connexin deficiency, altered purinergic signaling, and disrupted potassium homeostasis. Such changes may contribute to the hyperacusis in CRFR2 null mice by increasing the endocochlear drive on mechanotransduction. Auditory physiology reveals a decreased sensitivity in CRFR1 null mice, opposite from the hypersensitivity observed in mice lacking CRFR2. Cochlear expression of CRFR1 was assessed using BAC transgenic mice expressing green fluorescent protein (GFP) under the CRFR1 promoter. CRFR1 expression is largely found in various support cells, with little to no expression in sensory cells. Nonetheless, CRFR1 is expressed in support cells directly juxtaposing the inner and outer hair cells, where it may exert indirect effects on hair cell function. The auditory physiology suggests an afferent basis for the hearing impairment in CRFR1 null mice and therefore, support cell-sensory cell interactions were investigated at the afferent synapse. CRFR1 null mice exhibit a significant reduction in glutamine synthetase (GS) levels suggesting impaired glutamate cycling between the presynaptic inner hair cell and its neighboring CRFR1-positive border cell. GS is a glucocorticoid inducible factor, and to determine if glucocorticoid deficiency underlies the reduced GS expression, mice were chronically treated with corticosterone in their drinking water. Corticosterone treatment restored GS levels in CRFR1 null mice but did not rescue the auditory deficit, indicating that reduced GS levels do not cause this deficit. Assessment of afferent synapse structure revealed normal overlay of presynaptic ribbons and postsynaptic glutamate receptor clusters; however, the distribution of these synapses within the inner hair cell was altered as evidenced by three-dimensional image analysis. Labeling of afferent fibers and terminals using antibodies against the a3 subunit of the sodium-potassium ATPase also revealed targeting defects, and together these results demonstrate an important developmental role for CRFR1 activity in the cochlea. We describe for the first time an HPA equivalent signaling system in the cochlea. Immunolabeling experiments demonstrate expression of pro-opiomelanocortin (POMC), adrenocorticotropic hormone (ACTH), and the ACTH receptor, melanocortin receptor 2 (MC2R) in the support cells and sensory cells of the cochlea. The full role of this HPA axis in auditory processing and protection awaits clarification. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",,Dissertation Abstracts International: Section B: The Sciences and Engineering,71,10-B,5957,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc10&AN=2011-99080-055
44,Ovid Technologies,APA PsycInfo,2011-26528-004,WHO Ear and Hearing Disorders Survey in four provinces in China. [References].,Dec 2011,2011,Accepted: Oct 2011.,"Bu, Xingkuan

Liu, Cheng

Xing, Guangqian

Zhou, Ling

Liang, Chuanyu

Zheng, Yun

Meng, Juang

Wang, Youqin

Yang, Chongling

Liu, Yuqing

Du, Baodong

Zhang, Yan

Du, Bo","Bu, Xingkuan: bxkuan@gmail.com","Audiological Medicine. Vol.9,(4), 2011, pp. 141-146.",Dec,"Hearing, Balance and Communication","Objective: To investigate the population based prevalence of ear diseases and hearing impairment in Jiangsu, Sichuan, Guizhou and Jilin Provinces in China, develop strategies to provide scientific data for the global database and to draw up prevention and intervention strategies. Methods: Using the WHO Ear and Hearing Disorders Survey Protocol and the probability proportion to size (PPS) sampling technique, 30,733 residents were targeted for investigation in 150 clusters in four provinces. Every subject had an ear examination and pure tone audiometry. Definitions of disabling hearing loss and the classification of hearing impairment used were in accordance with WHO recommendations. Results: Among 30,733 targeted residents, 29,246 individuals (95.2%) participated in the survey. One thousand, three hundred and sixty individuals (4.4%) were absent; 127 individuals (0.4%) refused. The prevalences of hearing impairment and disabling hearing impairment were 14.2% and 5.2% of investigated individuals, respectively: 9.1% of the sample had a mild hearing loss, 3.8% a moderate degree of hearing loss, 1.1% a severe and 0.3% a profound hearing loss. Using data from the fifth population census in China (2000), we calculated the standardized rates of hearing impairment and hearing disability in our study to be 11.7% and 4.4%, respectively. There was a significant difference in the prevalence between males and females, urban and rural dwellers, as well as for different ages. The prevalence of ear diseases was 6.5% of investigated individuals: the standardized rate was 5.9%; 0.2% of investigated individuals had auricle malformation, 2.2% impacted cerumen, 0.2% otitis externa, 0.3% fungi, 0.1% foreign body, 0.1% acute otitis media, 0.9% chronic suppurative otitis media, 1.8% serous otitis media and 1.3% dry perforation of tympanic membrane. Overall, 8.0% of investigated persons were assessed to be likely to benefit from hearing aids, while 4.0% of persons needed medication, 0.1% language/speech rehabilitation, 1.5% non-urgent surgery and 0.9% other treatment. Conclusions: The high prevalence of hearing impairment and disability is a heavy burden on social development and also hinders normal family life. The government and society as a whole should show more concern about these problems. Strategies for prevention and intervention should be focused on less developed regions, rural areas, aging people and non-infectious conditions. Hearing aids services, medication, professional education and training are particularly important in developing countries. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","HOLDER: Informa Healthcare
YEAR: 2011",Audiological Medicine,9,4,141-146,Click here for full text options,SFX,,"Taylor & Francis, United Kingdom",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc10&DO=10.3109%2f1651386X.2011.631285
45,Ovid Technologies,APA PsycInfo,2011-18908-002,Using cluster analysis to classify audiogram shapes. [References].,Sep 2010,2010,"Accepted: Mar 2010

First Submitted: Sep 2009.","Lee, Cheng-Yung

Hwang, Juen-Haur

Hou, Szu-Jen

Liu, Tien-Chen","Hwang, Juen-Haur: G120796@tzuchi.com.tw","International Journal of Audiology. Vol.49,(9), 2010, pp. 628-633.",Sep,,"The purpose of this study was to design a statistical classification system of audiogram shapes in order to improve and integrate shape recognition across clinical settings. The study included 1633 adult subjects with normal hearing or symmetric sensorineural hearing impairment who underwent pure-tone audiometry between July 2007 and December 2008. K-means cluster analysis was employed to categorize audiometric shapes. Eleven audiogram shapes were identified: rising, flat, peaked 8-kHz dip, 4-kHz dip, 8-kHz dip, mild sloping, severe 8-kHz dip, sloping, abrupt loss, severe sloping, and profound abrupt loss. By using the classification system and nomenclature identified for audiogram shapes as outlined in this study, errors based on personal experiences can be reduced and a consistency can be developed across clinics. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","HOLDER: British Society of Audiology, International Society of Audiology, and Nordic Audiological Society
YEAR: 2010",International Journal of Audiology,49,9,628-633,Click here for full text options,SFX,,"Taylor & Francis, United Kingdom",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc9&DO=10.3109%2f14992021003796887
46,Ovid Technologies,APA PsycInfo,2009-99200-531,"Preschool vitamin a supplementation, middle ear infection, and young adult hearing loss in Nepal.DP  - 2009",,2009,,"Schmitz, Jane",,"Dissertation Abstracts International: Section B: The Sciences and Engineering. Vol.70,(4-B), 2009, pp. 2255.",,Dissertation Abstracts International,"Background. Vitamin A deficiency is associated with risk of chronic otitis media, the leading cause of preventable childhood hearing loss in the world. Despite the co-existence of undernutrition and middle ear infections in many disadvantaged populations, little is known about their association with hearing loss and no studies have assessed the efficacy of vitamin A supplementation on attenuating the risk of hearing loss. Methods. From 2006 to 2008, we assessed 3,628 young adults 16-23 years of age who, as preschool children (1989-1991), participated in a cluster-randomized, double-masked, placebo-controlled vitamin A supplementation trial in southern Nepal. In the original trial, anthropometric measures (height or length, weight, mid-upper arm circumference [MUAC]) and one-week parental morbidity reports, including ear discharge (external ear otorrhea), were collected at the time of dosing every four months over a 16-month period. Household socioeconomic status (SES) variables were also recorded. In the follow-up health survey 17 years later, audiometric, ear health and tympanometry evaluations were performed in addition to nutritional, other health and socioeconomic assessments. Hearing loss was defined as both failing to hear a 30dB screening tone at 0.5, 1, 2, 4 and 8 kHz and exhibiting an average air conduction threshold value greater than 30 dB in the worse ear across the frequencies 0.5, 1, 2 and 4 kHz. Results. The prevalence of hearing loss in this population of older adolescents and young adults was 6.2% (95% confidence interval [CI]: 5.6-6.7%). This prevalence figure suggests that there are approximately 30,840 young people 16 to 23 years of age in rural Nepal with test-based hearing impairment. Those with hearing loss were 6- to 8-fold more likely than their normal hearing peers to report problems in communicating with others. Ear discharge in the preschool years was associated, in a dose-response manner, with hearing loss later in life. The odds ratio (OR) for being hearing impaired as young adults ranged from 1.9 to 19.6 among subjects reporting 1 to 7 weekly episodes of ear discharge in their preschool years compared to individuals reporting no episodes. The OR for hearing loss was 5.14 (95% CI: 3.54-7.46) for any preschool episode of preschool ear discharge compared to being free of apparent ear infection; an increase in risk that was concentrated in subjects with abnormal tympanometry in young adulthood. Preschool supplementation with 200,000 IU of vitamin A every four months was associated with a non-significant 18% reduction in hearing loss relative to controls (OR = 0.82; 95% CI: 0.61-1.09). However, among subjects who had reported any preschool episode of ear discharge, vitamin A supplementation reduced the risk of hearing loss by 37% (OR = 0.63; 95% CI: 0.40-0.98), an effect that persisted after adjusting for age, sex, and childhood SES. Both stunting and wasting, based on indicators less than -2 Z scores, in the preschool years were associated with increased risk of hearing loss. Children who were underweight or wasted, but not stunted, in the preschool years were more likely to have middle ear dysfunction, as measured by tympanometry, in young adulthood. Gender, age and socioeconomic status in early childhood were not associated with young adult hearing loss. Conclusion. Hearing loss is a public health problem among young adults living in rural, southern Nepal. The condition is associated with the frequency of ear infection and the severity of undernutrition in the preschool years. Periodically supplementing children with high-potency vitamin A in the preschool years reduced the risk of permanent hearing loss by early adulthood, particularly among subjects with prospectively documented suppurative ear infections in early childhood. These findings suggest that periodic vitamin A supplementati... (PsycInfo Database Record (c) 2021 APA, all rights reserved)",,Dissertation Abstracts International: Section B: The Sciences and Engineering,70,4-B,2255,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc8&AN=2009-99200-531
47,Ovid Technologies,APA PsycInfo,2009-23598-020,Hearing conservation program for agricultural students: Short-term outcomes from a cluster-randomized trial with planned long-term follow-up. [References].,Dec 2009,2009,First Posting: Oct 2009.,"Berg, Richard L

Pickett, William

Fitz-Randolph, Marcy

Broste, Steven K

Knobloch, Mary Jo

Wood, Douglas J

Kirkhorn, Steven R

Linneman, James G

Marlenga, Barbara","Marlenga, Barbara: marlenga.barbara@mcrf.mfldclin.edu","Preventive Medicine: An International Journal Devoted to Practice and Theory. Vol.49,(6), 2009, pp. 546-552.",Dec,Preventative Medicine: An International Journal Devoted to Practice & Theory,"Objectives : (1) To conduct a contemporary analysis of historical data on short-term efficacy of a 3-year hearing conservation program conducted from 1992 to 1996 in Wisconsin, USA, with 753 high school students actively involved in farm work; (2) to establish procedures for assessment of hearing loss for use in a recently funded follow-up of this same hearing conservation program cohort. Methods : We analyzed a pragmatic cluster-randomized controlled trial, with schools as the unit of randomization. Thirty-four rural schools were recruited and randomized to intervention or control. The intervention included classroom instruction, distribution of hearing protection devices, direct mailings, noise level assessments, and yearly audiometric testing. The control group received the audiometric testing. Results : Students exposed to the hearing conservation program reported more frequent use of hearing protection devices, but there was no evidence of reduced levels of noise-induced hearing loss (NIHL). Conclusion : Our analysis suggests that, since NIHL is cumulative, a 3-year study was likely not long enough to evaluate the efficacy of this intervention. While improvements in reported use of hearing protection devices were noted, the lasting impact of these behaviors is unknown and the finding merits corroboration by longer term objective hearing tests. A follow-up study of the cohort has recently been started. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","STATEMENT: All rights reserved.
HOLDER: Elsevier Inc.
YEAR: 2009",Preventive Medicine: An International Journal Devoted to Practice and Theory,49,6,546-552,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc8&DO=10.1016%2fj.ypmed.2009.09.020
48,Ovid Technologies,APA PsycInfo,2009-01630-003,Age-related hearing loss: Aquaporin 4 gene expression changes in the mouse cochlea and auditory midbrain. [References].,Feb 2009,2009,"First Posting: Dec 2008

Accepted: Nov 2008.","Christensen, Nathan

D'Souza, Mary

Zhu, Xiaoxia

Frisina, Robert D","Frisina, Robert D.: Robert_Frisina@urmc.rochester.edu","Brain Research. Vol.1253, 2009, pp. 27-34.",Feb,,"Presbycusis-age-related hearing loss, is the number one communication disorder, and one of the top three chronic medical conditions of our aged population. Aquaporins, particularly aquaporin 4 (Aqp4), are membrane proteins with important roles in water and ion flux across cell membranes, including cells of the inner ear and pathways of the brain used for hearing. To more fully understand the biological bases of presbycusis, 39 CBA mice, a well studied animal model of presbycusis, underwent non-invasive hearing testing as a function of sound frequency (auditory brainstem response-ABR thresholds, and distortion-product otoacoustic emission-DPOAE magnitudes), and were clustered into four groups based on age and hearing ability. Aqp4 gene expression, as determined by genechip microarray analysis and quantitative real-time PCR, was compared to the young adult control group in the three older groups: middle aged with good hearing, old age with mild presbycusis, and old age with severe presbycusis. Linear regression and ANOVA showed statistically significant changes in Aqp4 gene expression and ABR and DPOAE hearing status in the cochlea and auditory midbrain-inferior colliculus. Down-regulation in the cochlea was seen, and an initial down-, then up-regulation was discovered for the inferior colliculus Aqp4 expression. It is theorized that these changes in Aqp4 gene expression represent an age-related disruption of ion flux in the fluids of the cochlea that are responsible for ionic gradients underlying sound transduction in cochlear hair cells necessary for hearing. In regard to central auditory processing at the level of the auditory midbrain, aquaporin gene expression changes may affect neurotransmitter cycling involving supporting cells, thus impairing complex sound neural processing with age. (PsycInfo Database Record (c) 2021 APA, all rights reserved)","STATEMENT: All rights reserved.
HOLDER: Elsevier B. V.
YEAR: 2008",Brain Research,1253,,27-34,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc8&DO=10.1016%2fj.brainres.2008.11.070
