author,title,abstract,date,search_term
https://github.com/shwncndn,soundlift_audiometry,"# SoundLift


# SoundLift


```mermaid
erDiagram
User {
  string username
  string email
  string password
  string hashed_password
  naive_datetime confirmed_at
}
TestResults {
    integer left_ear
    integer right_ear
    integer total_score
    naive_datetime published_on  
}

User ||--O{ TestResults: """"
```

To start your Phoenix server:

  * Run `mix setup` to install and setup dependencies
  * Start Phoenix endpoint with `mix phx.server` or inside IEx with `iex -S mix phx.server`

Now you can visit [`localhost:4000`](http://localhost:4000) from your browser.

Ready to run in production? Please [check our deployment guides](https://hexdocs.pm/phoenix/deployment.html).

## Learn more

  * Official website: https://www.phoenixframework.org/
  * Guides: https://hexdocs.pm/phoenix/overview.html
  * Docs: https://hexdocs.pm/phoenix
  * Forum: https://elixirforum.com/c/phoenix-forum
  * Source: https://github.com/phoenixframework/phoenix
# soundlift_audiometry",2023,audiometry
https://github.com/Mattst123,pi-audiometry,"PI V - IOT Project.

Project to develop an IOT device for pure tone audiometry test.",2020,audiometry
https://github.com/Amphxros,Audiometry-Plugin-Testing-Enviroment,None,2023,audiometry
https://github.com/jula97,Audiometry-Generator,Semester 4 power amplifier project,2020,audiometry
https://github.com/echestare,Audiometry_challenge_Data_Analyst,"<a href=""https://www.linkedin.com/in/ezequiel-nicolás-starecinch"" target=""_blank""><img alt=""LinkedIn"" src=""https://img.shields.io/badge/linkedin-%230077B5.svg?&style=for-the-badge&logo=linkedin&logoColor=white"" /></a>

<h1 align=""center""> DESAFÍO DATA ANALYST and Data Science</h1>
<h3 align=""center""> Data cleaning, EDAs, Data Science, SQL querys y Plotly DASH.</h3>

<p align=""center""><img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/brand.jpg"" alt=""drawing"" width=""800""/></p>

<!-- TABLE OF CONTENTS -->
## Índice
<details open=""open"">
  <summary>Tabla de contenidos: </summary>
  <ol>
    <li>
      <a href=""#about-the-project"">Sobre el proyecto.</a>
      <ul>
        <li><a href=""#project-overview"">Resumen del proyecto.</a></li>
        <li><a href=""#built-with"">Desarrollado con.</a></li>
      </ul>
    </li>
    <li>
      <a href=""#installation"">Instalación.</a></li>
    </li>
    <li>
      <a href=""#stages-overview"">Partes del proyecto.</a>
      <ul>
        <li><a href=""#2-1"">2_1_Manipulando_bases_de_datos</a></li>
        <li><a href=""#2-2"">2_2_Manejo_de_bases_de_datos_con_SQL</a></li>
        <li><a href=""#2-3"">2_3_Análisis_Exploratorio_de_los_Datos___EDA</a></li>
        <li><a href=""#2-4"">2_4_eda_dash</a></li>
        <li><a href=""#2-5"">2_5_Consulta_y_análisis_usando_APIs</a></li>
      </ul>
    </li>
    <li>
      <a href=""#productionization"">Productividad.</a>
    </li>
  </ol>
</details>


<!-- ABOUT THE PROJECT -->
## Sobre el proyecto:
<!-- PROJECT OVERVIEW -->
### Resumen del proyecto:
Este proyecto nace de la conjunción de algunas pruebas para entrevistas de trabajo encontradas en internet. He conservado algunos enunciados y exigencias, agregado algunos y  modificando los datos originales y cualquier referencia a las empresas.

En cada parte fue necesario hacer una limpieza de datos (más o menos significativo según el caso) y, al menos, un EDA.
Se compone de 5 partes:
- 2_1_Manipulando_bases_de_datos: `DATA SCIENCE`.
- 2_2_Manejo_de_bases_de_datos_con_SQL: `SQL QUERIES`.
- 2_3_Análisis_Exploratorio_de_los_Datos___EDA: `DATA ANLYSIS`.
- 2_4_eda_dash: `INTERACTIVE DASHBOARD`
- 2_5_Consulta_y_análisis_usando_APIs: `DATA ANLYSIS` (criterio).







<!-- BUILT WITH -->
### Desarrollado con:
* **Versión de Python**: 3.8.8
* **Framework**: Colaboratory de Google, Spyder IDE, Opera.
* **Packages**:
    - 2_1_Manipulando_bases_de_datos: pandas, numpy, seaborn, matplotlib, plotly, IPython y `sklearn`.
    - 2_2_Manejo_de_bases_de_datos_con_SQL: pandas y `sqlite3`.
    - 2_3_Análisis_Exploratorio_de_los_Datos___EDA: pandas, numpy, IPython, seaborn y `plotly`.
    - 2_4_eda_dash: pandas, numpy, IPython, `Plotly`, `Dash` y `JupyterDash`.
    - 2_5_Consulta_y_análisis_usando_APIs: pandas, matplotlib, `Plotly` y `requests`.



<!-- INSTALLATION -->
## Instalación 
Clonando el repo
   ```sh
   git clone https://github.com/echestare/Audiometry_challenge_Data_Analyst.git
   ```
En google  colab:
- Primero ir a la dirección del notebook que quiere ejecutar. Por ejemplo:
```sh
   https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/2_1_Manipulando_bases_de_datos.ipynb
   ```
   Y se reemplaza, en la dirección, `github.com` por `githubtocolab.com`. Como a continuación:
```sh
   https://githubtocolab.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/2_1_Manipulando_bases_de_datos.ipynb
   ```
- Luego ejecutar en la primera celda (para que se agreguen los archivos extras):

>Este paso no es necesario, ya que todos los archivos del repo usan los datasets e imágenes subidos Google Drive (por lo que no necesita tenerlos localmente).

   ```sh
   !git clone https://github.com/echestare/Audiometry_challenge_Data_Analyst
   ```

<!-- stages overview -->
## Partes del Proyecto:
A continuación se presentan los links hacia los códigos funcionando en Colaboratory de Google:

<!-- 2 1 -->
### [2_1_Manipulando_bases_de_datos.ipynb](https://colab.research.google.com/drive/1Ddi5edhWpAqIJ2Cd5CAN_ooC2VXb0QLU?usp=sharing)

- Dataset: llamadas al 911 en USA entre el 2015 y 2016 (más de 600K líneas). 

    - Este archivo no se pudo subir en github por el límite de tamaño (pesa 117 MB), pero acá dejo el [link de Kaggle](https://www.kaggle.com/mchirico/montcoalert).

    - De todos modos, el código usa el dataset almacenado en Drive. Si se abre con colab, la carga de los datos es muy rápida.

- EDA simple.

- Comparación de **modelos de algoritmos para predecir** la relación el `Código Postal` a partir de la `latitud y longitud`: Correlación de Pearson, Regresión Lineal, k-means, Hierarchical clustering, `Árbol de regresión (99%)`.

<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_1_data.jpg"" alt=""drawing"" widtht =""800""/>

||||
|----------------|-------------------------------|-----------------------------|
|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_1_regression_tree.jpg"" alt=""drawing"" width=""350""/>|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_1_kmean.jpg"" alt=""drawing"" width=""350""/>|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_1_Hierarchical_clustering.jpg"" alt=""drawing"" width=""350""/>|
||||

    
<!-- 2 2 -->
### [2_2_Manejo_de_bases_de_datos_con_SQL.ipynb](https://colab.research.google.com/drive/1mA8LLd-Mkw7vmdCMQHAHdXCeI7itMC6Q?usp=sharing)

- Dataset: encuesta a doctores sobre uso de audiómetro \_BRAND\_, datos personales y experiencia profesional.

- **SQL Queries**
<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_2_data.jpg"" alt=""drawing"" width=""800""/>

|||
|-------------------------------|-----------------------------|
|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_2_data_contacto.jpg"" alt=""drawing"" width=""400""/>|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_2_data_acuf.jpg"" alt=""drawing"" width=""400""/>|
|||

<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_2_query.jpg"" alt=""drawing"" width=""800""/>

<!-- 2 3 -->
### [2_3_Análisis_Exploratorio_de_los_Datos___EDA.ipynb](https://colab.research.google.com/drive/1vVpQnQCKTf9rGFMGKVL2OCRXrmlauS2r?usp=sharing)

- Dataset: encuesta a doctores sobre experiencia profesional haciendo acufenometrías (audiometría tinitumetría), experiencia, áreas de especialización, estímulos usados, datos personales y más (el dataset original tenía más datos, pero no eran pertinentes al trabajo y fueron eliminados).

- **Análisis de Datos** de situaciones de interés específicas.

<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_3_data.jpg"" alt=""drawing"" width=""800""/>

<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_3_data_area.jpg"" alt=""drawing"" width=""800""/>

|||
|-------------------------------|-----------------------------|
|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_3_area_country.jpg"" alt=""drawing"" width=""400""/>|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_3_country_area.jpg"" alt=""drawing"" width=""400""/>|
|||

<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_3_data_sound.jpg"" alt=""drawing"" width=""800""/>

|||
|-------------------------------|-----------------------------|
|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_3_sound_country.jpg"" alt=""drawing"" width=""400""/>|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_3_country_sound.jpg"" alt=""drawing"" width=""400""/>|
|||

<!-- 2 4 -->
### [2_4_eda_dash](https://colab.research.google.com/drive/1pnU1HQUgxqFsDqoKf6ZI8Q9R-P2j9D-T?usp=sharing)
>Este link tiene modificaciones respecto del código en el repositorio para poder funcionar correctamente en un Notebook de `Colaboratory de Google`. La modificación más importante es que usa una librería vieja de Dash y de Jupyter-Dash (precisamente para poder funcionar en colab).

>Así mismo, el link lleva a un archivo "".ipynb"", mientras que en el repo se trata de un archivo "".py"".

- **Dashboard** funcional del análisis del punto anterior.
    
||||
|----------------|-------------------------------|-----------------------------|
|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_4_overview.png"" alt=""drawing"" width=""350""/>|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_4_area.png"" alt=""drawing"" width=""350""/>|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_4_sound.png"" alt=""drawing"" width=""350""/>|
||||
    
<!-- 2 5 -->
### [2_5_Consulta_y_análisis_usando_APIs.ipynb](https://colab.research.google.com/drive/12tZH4r0_urV8jo8gFXuhoYkUhZ1GnOa1?usp=sharing)

- Dataset: datos obtenidos de la app del audiómetro \_BRAND\_. Este dataset consta de dos tablas relacionadas por la columna ""id"".

- **Análisis de Datos** de situaciones de interés específicas.

<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_5_data1.jpg"" alt=""drawing"" width=""800""/>

<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_5_data2.jpg"" alt=""drawing"" width=""800""/>

|||
|-------------------------------|-----------------------------|
|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_5_freqs.jpg"" alt=""drawing"" width=""400""/>|<img src=""https://github.com/echestare/Audiometry_challenge_Data_Analyst/blob/main/Snapshots/2_5_intencities.jpg"" alt=""drawing"" width=""400""/>|
|||



<!-- productionization -->
## Productividad:

- 2_1_Manipulando_bases_de_datos: Tal vez, sea interesante probar un método de Vectorización clasificatorio, sin embargo, es indiscutible que el resultado del Árbol de Regresión es muy bueno.
- 2_2_Manejo_de_bases_de_datos_con_SQL: La librería SQLite3 es excelente para hacer SQL Querys usando python; los resultados son más que satisfactorios.
- 2_3_Análisis_Exploratorio_de_los_Datos___EDA: Este análisis muestra claramente cómo en ciertos países es más fuerte la presencia de Audiometristas mientras que en otros pueden ser irrisoria su presencia. Así como ciertas áreas de especialización dentro de la rama de la medicina tienen más alcance. Finalmente, la distribución de la utilización de los distintos estímulos para detectar acúfenos es relativamente similar para cada estado.
- 2_4_eda_dash: El Dashboard es minimalista y aún así tiene toda la información significativa distribuida de forma tal que con la interactividad ofrecida se puede explorar convenientemente.
- 2_5_Consulta_y_análisis_usando_APIs: La librería `requests` es simple y potente para la exploración de APIs. Durante la limpieza de datos se encontró que el dataset tiene una notable baja calidad. El análisis se terminó haciendo sobre menos datos de lo conveniente, pero pueden dar resultados útiles para tomar decisiones respecto al método para verificar la calidad del estudio.",2022,audiometry
https://github.com/bro-jo,pure-tone-audiometry,None,2019,audiometry
https://github.com/Hyeon07,AppAudiometry,"mobile application designed for conducting hearing tests and assessing an individual's auditory health. Users can use headphones and follow on-screen instructions to measure their hearing sensitivity, helping identify potential hearing impairments.",2023,audiometry
https://github.com/kyranet,son-audiometry-tools,More information coming soon!,2021,audiometry
https://github.com/sacross93,AUDIOMETRY-Object-Detection,"Work to create an automated AI assistant in a bioimaging center.

Project Objective.

All tasks are based on AUDIOMETRY.

allow coordinates to be entered for marks on a graph in the form of a data frame.

convert the table illustration below into a data frame.

No Response (NR) means not measurable.",2024,audiometry
https://github.com/shwetap3,MobileAudiometryApp,None,2014,audiometry
https://github.com/diluo1999,Low_Cost_Boothless_Audiometry,"# Low Cost Boothless Audiometry

## Description

Boothless audiometry is a technology that promises to increase access to hearing examinations in low-income regions. However, there is a need for the technology to be cheaper, more informative, reliable, and easy-to-use to aid audiologists in making more accurate and informed hearing loss diagnoses.

See [Written Proposal](Written%20Proposal.pdf) and [Proposal Presentation](Proposal%20Oral%20Presentation.pdf) for detailed description of the project.

## Open-source Project Repositories

TYMPAN, open-source hearing aid and hearing aid development tools, on [GitHub](https://github.com/Tympan).

TabSINT, open-source platform for hearing assessments and general purpose questionnaires, on [GitLab](https://gitlab.com/diluo1999/tabsint).

## Acknowledgement

### Team Members
- Azariah Javillonar
- Daniel Abate
- Di Luo
- MacKenzie Guynn
- Zhanel Nugmanova

### [Dartmouth Hitchcock Medical Center](https://www.dartmouth-hitchcock.org/) Doctors and Researchers
- Dr. Buckey
- Dr. Saunders
- Dr. Niemczak
- Torri Lee

### [Creare LLC](https://www.creare.com/) Engineers 
- Dr. Odile Clavier, a principal engineer working on technology to lower the cost of healthcare
- Eric Yuan, a research engineer who has worked with the Tympan
- Blaine Ayotte, a software engineer who has worked with TabSINT
- Chip Audette, an engineer who focuses on hearing systems and signal processing
- Joel Murphy, who runs Tympan.org and is very knowledgeable about the device

### Thayer School of Engineering at Dartmouth College Faculties
- Professor Peter Chin
- Nikki Stevens
- Professor Solomon Diamond
- Professor Rafe Steinhauer
- Emily Monroe",2022,audiometry
https://github.com/Bhumika1408,AppAudiometry_test,This is an app based audiometry .Which can be used to perform preliminary hearing test which can avoid regular clinical visits and give a preliminary results which is useful for both users and the doctors to treat,2023,audiometry
https://github.com/pjumppanen,MaskingDemonstration,"
This HTML5 app implements a simple demonstration of two tone masking
                                                                                                                                                                                                                                                                in human hearing. a reference / masking tone is played at a specific
                                                                                                                                                                                                                                                                frequency chosen by user input an a secondary tone with frequency
                                                                                                                                                                                                                                                                relative to the reference tone is also chosen by the user along with
                                                                                                                                                                                                                                                                the playback level relative to the reference tone. the user can thereby
                                                                                                                                                                                                                                                                listen to the two tones and hear the effect of masking. the user is
                                                                                                                                                                                                                                                                also able to plot there findings to build a masking profile for their
                                                                                                                                                                                                                                                                own hearing.

                                                                                                                                                                                                                                                                to use download the Masking.html file to a local drive and open it
                                                                                                                                                                                                                                                                with a HTML5 compatible browser.",2023,audiometry
https://github.com/gerardllorach,audiovisualdubbedMST,"# How to create video material for the Matrix Sentence Test

This is a repository with guidelines and code to create visual material for the Matrix Sentence Test or any other audio-only speech material. If you want to dub audio material with video recordings you are in the right place. The code and guidelines were written by Gerard Llorach and Loïc Le Rhun.

The asynchrony score calculation, suggested by Bernd Meyer, is based on the source code written by Frederike Kirschner and Giso Grimm and used uses the library developed by Mike Brookes (VOICEBOX) to calculate the mel spectrograms. The method and guidelines to dub audio material with video recordings are based on the work of [Llorach et al. (2022)](https://www.tandfonline.com/doi/full/10.1080/14992027.2021.1930205), supervised by Giso Grimm and Volker Hohmann.

To understand how the asynchrony calculation works, you can check out this python notebook comparing the cross-correlation and the method used here (DTW): https://colab.research.google.com/drive/1ljsQSZxHgD-R7tG4cR6vcwV_h-OxfBGB?usp=sharing

Licensed under GNU GENERAL PUBLIC LICENSE, Version 2, June 1991

## Getting the audio-only material
The audio-only material belongs to HörTech gGmbH. In principle, they can give you the material for research purposes for a limited period. You will find contact information on their [website](https://www.hoertech.de/). The specific website for the MST can be found in this [link](https://www.hoertech.de/en/devices/intma.html). You can directly specify that you need it for creating an audiovisual MST and that the audio files are required.

The audio-only MST from HörTech will be mentioned as ""original audio"" throughout this guide.

## Recording setup
You will need a computer, a camera, a microphone and probably a sound mixing table/handheld recorder. Each setup will depend on the equipment that you have available. We propose a setup with a mirrorless camera (sony alpha 7), a shotgun microphone, and a handheld recorder (Zoom H6).

### Audio routing
The camera needs to record two audio inputs at the same time: one from the talker (captured by the shotgun microphone) and another one from the computer, where the original audio is being played. Because most cameras have one audio input, the microphone audio, and the computer audio will be stored in the left and right channel of the camera audio input. This will be done with a mono-to-stereo cable that mixes two mono signals into a stereo (Hosa YMM261). The shotgun microphone will be connected to the Zoom H6 and the line out of the Zoom H6 will be connected to one of the audio inputs of the mono-to-stereo cable (Hosa YMM261). The computer will have two audio outputs from the headphone output. You can achieve that with a jack splitter. One of the outputs will be connected to the remaining audio input of the mono-to-stereo cable (Hosa YMM261) and the other will be connected to the earphones that the talker will use. The final connections should look like this:
- Microphone -> (XRL female -- XRL male) <- Zoom input channel 1
- Zoom line out -> (3.5mm jack male -- 3.5mm jack male) <- Mono-to-stereo cable input 1
- Computer audio output -> (3.5mm jack splitter male -- 3.5mm jack splitter female 1 -- 3.5mm jack male -- 3.5mm jack male) <- Mono-to-stereo cable input 2
- Computer audio output -> (3.5mm jack splitter male -- 3.5mm jack splitter female 2) <- earphone to the talker
- Mono-to-stereo cable output -> <- Camera audio input


According to this setup, you will need the following cables: an XRL cable (female-male), two 3.5mm jacks (male-male), a 3.5mm jack splitter (1 male-2 female), and a mono-to-stereo 3.5mm jack (2 female-1 male). You will probably need an extension cable for the earphones (3.5mm jack male-female).

![Audio Routing](img/audiorouting.jpg)

The 3.5mm jack splitter and the mono-to-stereo 3.5mm jack are different cables. The first one duplicates a signal, whereas the second one creates a stereo mix from two mono signals. The cables look the same, but they are different inside and they are not interchangeable. 

### Recording settings
- Camera:
   · record at 50 or 60 fps, 1080p (Full HD). At 50 fps, one frame equals 20ms. Ideally, the camera records in mp4 or some other standard format.
   · avoid using automatic settings. If you do so, maybe the camera settings change during the recording session and one (video) sentence might look different from another.
   · use optical zoom if you have, to separate/blur the background. You can also play with the aperture to blur the background (specified as f/<number> in cameras).
   · do not use automatic gain control for audio
- Microphone:
  · use a shotgun microphone (also called boom I think) or a cardioid microphone, close to the speaker (e.g., above the speaker or below at the height of the knees and outside the recording frame of the camera).
  · check out this video for mic setups: https://www.youtube.com/watch?v=cusxbkwyvQ4.
  · never let the audio signal go over -12 dB in the camera and the handheld recorder.
  · avoid background noise and try to get a clean recording. It will affect your asynchrony scores later.

### Location
There will be the talker (person speaking the sentences) and the recording equipment (camera, handheld recorder, microphone, computer, and lights). Choose a chair/stool for the talker that is comfortable and also forces the talker to sit with a straight back. Avoid using chairs with a high backrest, as it could appear in the video unintentionally.

Choose an acoustically-treated room or a room where there is almost no reverberation. Avoid a room with natural light, as it can change throughout the recording session. Ideally, you want to get uniform lighting to the face of the talker, avoiding hard shadows. You can use two/three frontal-lateral diffuse light sources and one/two back hard light sources.

Choose a location with a uniform background. If you have the possibility, separate the talker from the back wall/background. You can increase this effect with the zoom and the aperture of the camera. You can also use a green/blue background. This is useful if you want to later want to change the background. Beware that you will need to be careful with the lighting. For example, back hard lights are recommended to separate the talker from the green background.

### Endurance
Batteries are very important, both for the equipment and the talker. A session with 150 sentences should last around 2 hours. Make sure that you have extra batteries for every piece of equipment. The battery of a Sony Alpha lasts around 30 minutes. If you can connect the camera with a power cord that would be ideal, otherwise bring extra batteries. The battery of the handheld recorder usually lasts longer than a recording session (over 20 hours). Check the same for the computer and lights (ideally all connected with power cords).

Make pauses for the talker. You don't want your talker to be tired, as the task requires being focused. Bring water/refreshments for the talker. To keep the same position of the talker in the chair/stool, you can use the display screen of the camera. By default, the display screen comes with a grid, usually by pressing the display button (DISP). You can use a non-permanent marker and directly paint on the display screen where the eyes and the mouth should always be.

### Choose the right talker
You should choose the right talker for your experiment. The most usual case is that you want a talker that is easy to speechread (lipread). Speech therapists and theater actors are a good choice.
   
### Legal issues
The talker should give your institution the image rights of the recorded material. You can find an [example here (English)](docs/ImageRightsForm.docx). Regarding the rights over the recorded speech, I am not sure if you can distribute it as the original audios from Hörtech gGmbH were used to create them. You should talk with HörTech gGmbH and seek legal advice about this topic.



## Recording session
The talker should keep the mouth closed before and after each sentence and keep the same place. He/she should keep a neutral face (not sad!) and look at the camera. Try that the prosody (intonation) is the same. Repeat the instructions now and then to the talker. 

To facilitate the recording session and the post-processing, there are scripts available. You need to follow the instructions in [NOTEBOOK_RECORDING.m](https://github.com/gerardllorach/audiovisualdubbedMST/blob/main/NOTEBOOK_RECORDING.m). We recommend that you read the Matlab script carefully, as they will speed up your recording session. 

### Pre-processing
During the recording session, the talker will listen to the sentences with cues. The talker will listen to something like this for a sentence: 
   ```
   -- Sentence code (morse) -- Beep -- Beep -- Beep -- Sentence -- Sentence -- Sentence -- Sentence.
   ```
   
   The sentence code (morse) is a signal that encodes the id of the sentence. In the Matrix Sentence Test, the sentences can be coded with 5 digits, each digit representing a word for each category. For example, 01932.wav represents 0-Peter, 1-has, 9-seven, 3-red, 2-cars and 37872.wav represents 3-John, 7-buys, 8-twelve, 7-big, 2-cars. This sentence code signal is used for post-processing. It helps to cut the videos and to identify the sentences automatically (you won't have to check all the videos and identify each sentence).
   
   The beep signals are cues for the talker. They are also used in post-processing for cutting the videos in the right place. After the beep signals, there are four sentence repetitions. The first one is for the talker to listen and the following three are for the talker to speak simultaneously. There is a GUI in the scripts that helps with the recording process. The sentences can be selected and the audio reproduction is visually shown (the audio envelope is plotted and a cursor moves through it over time).
   
### Post-processing
   Finding the sentences and selecting the best synchronous over a video file or several video files can be exhausting. The scripts provide an automatic process for cutting the videos, naming the cut videos with the sentence code and the take number, and for analyzing the asynchrony of each sentence-take. It does not matter if you have multiple video files or just one, the script processes all videos that are inside a given folder.

### Testing
Testing is most important. By testing the setup yourself, you will find out problems that should not appear during the recording session. Try to record 10-20 sentences and to get the final cut videos. You should also check that the sentences are correctly recorded and that you can extract the final videos that are the most synchronous.
   
   
# References
Llorach, G., Kirschner, F., Grimm, G., Zokoll, M.A., Wagener, K.C. and Hohmann, V., 2022. Development and evaluation of video recordings for the OLSA matrix sentence test. International Journal of Audiology, pp.1-11.
   
VOICEBOX, written by Mike Brookes, Department of Electrical & Electronic Engineering, Imperial College, Exhibition Road, London SW7 2BT, UK.",2023,audiometry
https://github.com/jzeyl,AcousticCalcs,"**Note this is a work in progress - several functions may be incomplete**

# AcousticCalcs
The AcoustiCalcs package is a set of convenience functions for common calculations in acoustics and audiometry. 

# Installation:
```
library(devtools)
devtools::install_github(""jzeyl/AcousticCalcs"", force = TRUE)
```

# Functions
|Category|function|description|
|-----|-----|-----|
|Unit conversion|hztocents()| convert a frequency interval to cents, semitones, and octaves
|Sound propagation|onsettimediff()| Plot the time difference and phase angle differences between a sound wave passing through two recievers. input: frequency, distance between sensors, speed of sound. output: a list containing the two sound waves, time difference, and phase difference, an oscillogram plot of the wave if plot = TRUE|
||dopplershift()| Input the speeds of sound source and receiver, and the speed of sound, and direction of movement between sources. Output: shifted frequency|
||pressure_transmissionloss()| input the distance, level of the sound source. Can be converted for raw values or dB. Simply 1/r, spherical spreading.Output: get the amount of (1) transmission loss and (2) new sound level at new location|
|Audiogram metrics| audiogramslice() |	Get high and low frequency hearing limits, best sensitivity, and best frqeuency from an audiogram for a given SPL level.
||humanaudiogram()| data with human audiogram for reference 


![alt text](/audiogramslice.svg)",2023,audiometry
https://github.com/kevinprinsloo,Multiplex_amplitude_modulated_tone_audiometry,"Contributor Covenant Code of Conduct

Our Pledge

In the interest of fostering an open and welcoming environment, we as contributors and maintainers pledge to making participation in our project and our community a harassment-free experience for everyone, regardless of age, body size, disability, ethnicity, gender identity and expression, level of experience, nationality, personal appearance, race, religion, or sexual identity and orientation.

Our Standards

Examples of behavior that contributes to creating a positive environment include:

Using welcoming and inclusive language
Being respectful of differing viewpoints and experiences
Gracefully accepting constructive criticism
Focusing on what is best for the community
Showing empathy towards other community members
Examples of unacceptable behavior by participants include:

The use of sexualized language or imagery and unwelcome sexual attention or advances
Trolling, insulting/derogatory comments, and personal or political attacks
Public or private harassment
Publishing others' private information, such as a physical or electronic address, without explicit permission
Other conduct which could reasonably be considered inappropriate in a professional setting
Our Responsibilities

Project maintainers are responsible for clarifying the standards of acceptable behavior and are expected to take appropriate and fair corrective action in response to any instances of unacceptable behavior.

Project maintainers have the right and responsibility to remove, edit, or reject comments, commits, code, wiki edits, issues, and other contributions that are not aligned to this Code of Conduct, or to ban temporarily or permanently any contributor for other behaviors that they deem inappropriate, threatening, offensive, or harmful.

Scope

This Code of Conduct applies both within project spaces and in public spaces when an individual is representing the project or its community. Examples of representing a project or community include using an official project e-mail address, posting via an official social media account, or acting as an appointed representative at an online or offline event. Representation of a project may be further defined and clarified by project maintainers.

Enforcement

Instances of abusive, harassing, or otherwise unacceptable behavior may be reported by contacting the project team at ffein@stanford.edu. The project team will review and investigate all complaints, and will respond in a way that it deems appropriate to the circumstances. The project team is obligated to maintain confidentiality with regard to the reporter of an incident. Further details of specific enforcement policies may be posted separately.

Project maintainers who do not follow or enforce the Code of Conduct in good faith may face temporary or permanent repercussions as determined by other members of the project's leadership.

Attribution

This Code of Conduct is adapted from the Contributor Covenant, version 1.4, available at http://contributor-covenant.org/version/1/4",2020,audiometry
https://github.com/manuvelloso,Audiometria,"<h1 align=""center""> TP Final EDII 2022: AUDIOMETRIA </h1>
<i>Geonas, Guarnieri, Velloso, Zino </i>

<h1> Circuito Electrónico: </h1>
<i> Componentes: </i>
- PIC 16F1827 <br>
- Display Grafico <br>
- Conversor A/D <br>
<img src=""https://github.com/manuvelloso/Audiometria/assets/84191140/37e6b870-4ef6-4703-9a0b-6b870407f509"" alt=""Circuito en Proteus"">
<h2> Software: </h2>
- Comunicacion Serie: paquete de datos a PC + display gráfico <br>
<i> En la carpeta con los nombres de las integrantes estan los archivos individuales. La solucion en si misma se encuentra en PROYECTO AUDIOMETRIA </i>",2024,audiometry
https://github.com/corvusMidnight,LexicalResources,"A collection of lexical resources across languages for audiometry and linguistics

![image](https://github.com/corvusMidnight/LexicalResources/assets/91611246/6a3f2b31-c6ca-425b-b057-4c209fe0637c)




| **Title** | **Type** | **Description** | **Size** | **Link** |
|-----------|---------|-----------------|----------|----------|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|
|A|B|C|D|E|",2023,audiometry
https://github.com/nydzio,Audiometria,None,2019,audiometry
https://github.com/JacquelineKittel,Ain-t-no-sound-loud-enough-audiometry-in-MRI-settings,None,2018,audiometry
https://github.com/kokamoto46,pure_tone,"This application is designed to practice the masking process of standard pure tone audiometry.

Reposted for publication on March 15, 2024.",2024,audiometry
